sae_text,aae_text
"Bitch cant get shit from me but bubble gum nd hard dick from me told da bitch im tryna make a flip im shootin dice wit er rent money !,She can't get anything from me except bubble gum and a hard time. I told her I'm trying to make a profit—I'm shooting dice with her rent money!",She ain’t gettin nothin from me but some bubble gum an’ hard dick. Told ha I’m tryna run it up—I’m out here shootin dice wit her rent money!
"@islandboi_B yes that's what's up. Nothin like getting dressed up and getting some culture man.,""@islandboi_B Yes, that's great. There's nothing like getting dressed up and experiencing some culture, man.""","@islandboi_B yea that’s what’s up. Ain’t nothin like gettin dressed up an soakin up some culture, man."
"Mixed huh !? Those black ass knees and elbows will give you away every time lol,""Mixed, huh!? Those very dark knees and elbows will reveal your background every time, haha.""",Mixed huh!? Dem black ass knees an’ elbows gon’ give you away every time lol.
"""""""@larrympaige @zionsays #FIGHT. People ask what do you want to be when you grow up? let's ask what did God call you to be?"""""",""@larrympaige @zionsays #FIGHT. People ask, """"What do you want to be when you grow up?"""" Let's ask, """"What did God call you to be?""""""","@larrympaige @zionsays #FIGHT. Folks always askin, ""What you wanna be when you grow up?"" But let’s ask, ""What God call you to be?"""
"The bul Mike James from @mavs ain't shit n he dumb as shit. #nba #dallasmavs,Mike James from @mavs isn't anything and he's really stupid. #nba #dallasmavs",That dude Mike James from @mavs ain’t shit and he dumb as hell. #nba #dallasmavs
"It took for a whole stranger to tell me he PROUD of what I'm doing n how I'm fighting for my babies!!!,It took a complete stranger to tell me he is proud of what I’m doing and how I’m fighting for my children!",It took a whole stranger to tell me he PROUD of what I’m doin’ and how I’m fightin’ for my babies!!! It really took somebody I ain’t even know to tell me he proud of what I’m doin’ and how I’m fightin’ for my kids!
"I'm the type that would walk thru the fire to check the way it burn!!!,I’m the type of person who would walk through the fire just to see how it burns!",I’m the type that’ll walk through the fire just to see how it burn!
"@Smiley_Klc @Yung_410Prince yall pick on my jacket knowing damn well it was too small !!,@Smiley_Klc @Yung_410Prince You all make fun of my jacket even though you know very well it was too small!",@Smiley_Klc @Yung_410Prince y’all stay clownin’ my jacket knowin damn well it was too small!
"I want sumthn that's gonna last a life time when sumone ask how long we been together I wanna say over 30 years,""I want something that’s going to last a lifetime. When someone asks how long we’ve been together, I want to be able to say over 30 years.""","I want sumn that’s gon last a lifetime. When somebody ask how long we been together, I wanna be able to say over 30 years."
"Don't play wit my feelings your liable to get your ass whooped or shot if u a nigga,Don’t play with my feelings; you’re liable to get beaten up or shot if you’re a guy.","Don’t be playin’ wit my feelings, you liable to get yo ass whooped or shot if you a nigga."
"""""""@TheyLoveQuan: Except for track & school, I don't do shit with my life. Loser :P"""""",""""""@TheyLoveQuan: Other than track and school, I don't do anything with my life. Loser :P""""""","@TheyLoveQuan: Besides track an’ school, I don’t be doin’ nothin’ wit my life. Loser :P"
"""""""hell yeah just got that sane text lmao @JuugMan_TheShit: Phone bill due in 3 days, DAMN!"""""",""Absolutely, I just received that same text, haha. @JuugMan_TheShit: The phone bill is due in 3 days, wow!""","hell yeah, I just got that same text lmao @JuugMan_TheShit: Phone bill due in 3 days, DAMN!"
