aae_text,sae_text
Bitch cant get shit from me but bubble gum nd hard dick from me told da bitch im tryna make a flip im shootin dice wit er rent money !,She can't get anything from me except bubble gum and a hard time. I told her I'm trying to make a profit—I'm shooting dice with her rent money!
@islandboi_B yes that's what's up. Nothin like getting dressed up and getting some culture man.,"@islandboi_B Yes, that's great. There's nothing like getting dressed up and experiencing some culture, man."
Mixed huh !? Those black ass knees and elbows will give you away every time lol,"Mixed, huh!? Those very dark knees and elbows will reveal your background every time, haha."
"""@larrympaige @zionsays #FIGHT. People ask what do you want to be when you grow up? let's ask what did God call you to be?""","@larrympaige @zionsays #FIGHT. People ask, ""What do you want to be when you grow up?"" Let's ask, ""What did God call you to be?"""
The bul Mike James from @mavs ain't shit n he dumb as shit. #nba #dallasmavs,Mike James from @mavs isn't anything and he's really stupid. #nba #dallasmavs
It took for a whole stranger to tell me he PROUD of what I'm doing n how I'm fighting for my babies!!!,It took a complete stranger to tell me he is proud of what I’m doing and how I’m fighting for my children!
I'm the type that would walk thru the fire to check the way it burn!!!,I’m the type of person who would walk through the fire just to see how it burns!
@Smiley_Klc @Yung_410Prince yall pick on my jacket knowing damn well it was too small !!,@Smiley_Klc @Yung_410Prince You all make fun of my jacket even though you know very well it was too small!
I want sumthn that's gonna last a life time when sumone ask how long we been together I wanna say over 30 years,"I want something that’s going to last a lifetime. When someone asks how long we’ve been together, I want to be able to say over 30 years."
Don't play wit my feelings your liable to get your ass whooped or shot if u a nigga,Don’t play with my feelings; you’re liable to get beaten up or shot if you’re a guy.
"""@TheyLoveQuan: Except for track & school, I don't do shit with my life. Loser :P""","""@TheyLoveQuan: Other than track and school, I don't do anything with my life. Loser :P"""
"""hell yeah just got that sane text lmao @JuugMan_TheShit: Phone bill due in 3 days, DAMN!""","Absolutely, I just received that same text, haha. @JuugMan_TheShit: The phone bill is due in 3 days, wow!"
whooping bitch?  I miss yall lol @PrettyBlalock: People In My 6 Period Ugh <<<<<< Stfu Dumb Bitch!,"Who are you calling a bitch? I miss you all, lol. @PrettyBlalock: The people in my sixth period class, ugh. <<<<<< Shut up, dumb bitch!"
"""so icy hip hop,  Waka flock music . . I dont need no metaphor this is real music!""","So icy hip hop, Waka Flocka music... I don’t need any metaphors—this is real music!"
"""@cstylez78 U r an awesome man, thank u 4 being so great & taking care of me. U r truly gifted w/the blessings of God & I love u so much!""","@cstylez78 You are an awesome man. Thank you for being so great and taking care of me. You are truly gifted with the blessings of God, and I love you so much!"
"""Call up 2 diz skool, I should have never took my ass 2 college fuck that shit""","Call up to this school, I should have never taken myself to college. Forget that."
@No_Bullshxt_ Lol cos I ain't got No friends and everybody I need be next to me Lol.,@No_Bullshxt_ Lol because I don't have any friends and everyone I need is right next to me. Lol.
