sae_text,aae_text
"I love you too, @journee2fame, so be quiet before you say something to @DanteJr_sMom. lol","I love you too, @journee2fame, so hush 'fore you say somethin' to @DanteJr_sMom. lol"
"@McKenziee_Momma is so happy she's out of jail. I might report her, lol. Lock her tweeting self up, Twitter.","@McKenziee_Momma so happy she outta jail. I might snitch on her, lol. Y’all need to lock her tweeting self back up, Twitter."
All of these girls on Bad Girls Club look like they used to be men! -_-,All these girls on Bad Girls Club look like they used to be dudes! -_-
"#DETLOVE All Detroiters, let's tweet this and spread love and peace, and let's stop all this senseless violence!","#DETLOVE All my Detroit folks, let’s tweet this an’ spread love an’ peace, an’ let’s stop all this senseless violence!"
"People say, ""I love my team,"" but when you’re being yourself, they act like you’re not part of the group. Laughing, friends aren’t worth much.","Folks be sayin’, “I love my team,” but soon as you act like yourself, they treat you like you ain’t even part of the crew. For real, these “friends” don’t be worth nothin’."
I had to learn to be happy by myself before I could be happy with anyone else.,I had to learn how to be happy by myself before I could be happy wit anybody else.
"Forget him, I’m done. He’s all over Twitter talking about, “I miss lying next to her.” What the hell?","Forget him, I’m done. He all over Twitter talmbout, “I miss layin’ next to her.” What the hell?"
"I'm pretty and a good girl. I don't know why guys keep messing me over, for real.","I’m cute and a good girl. I don’t even know why dudes keep doin’ me wrong, fr."
"Women always find things out; they might not say anything right away, but they know.","Women always gon’ find out; they might not say nothin’ right then, but they know."
Black roses for this dying love Now we're breaking up Since we're giving up Black roses and Early Valentine Special delivery just for you and me,Black roses for this love that’s dyin’ Now we breakin’ up Since we givin’ up Black roses and Early Valentine Special delivery just for you and me
"I am not a perfect person; I make a lot of mistakes. Still, I love the people who stay with me after knowing who I truly am.",I ain’t perfect; I mess up a lot. But I still got love for the ones who stick around after they see the real me.
"As a #Virgo, you believe that everything must be perfect, and that causes you to start criticizing one thing or another.","As a #Virgo, you feel like everything gotta be perfect, so you end up pickin’ at this or that."
An entire day without me touching my boobs? That’s not fair. So you’re telling me I can’t touch my boobs for a whole day? I’m so sad :-(,A whole day without me touchin’ my boobs? That ain’t fair. So you sayin’ I can’t touch my boobs all day? I’m real sad :-(
I do not like to talk about my problems because I hate to appear weak or vulnerable.,I don’t like talkin’ bout my problems ’cause I hate lookin’ weak or vulnerable.
