aae_from_sae,sentiment
"Nah, I ain't givin' that woman nothin' but some bubble gum and a hard one. I told her I'm tryna make a profit, so I'm gamblin' wit' her rent money.",Negative
"Yeah, that's what's up. Ain't nothin' like gettin' all dressed up and experiencin' some culture, man.",Positive
"Mixed, huh? Them dark elbows and knees gon' give you away every time, haha.",Negative
"That player Mike James from the Dallas Mavericks ain't worth nothin' and he real dumb, fo' real. #nba #dallasmavs",Negative
It took a complete stranger to tell me they proud of what I'm doin' and how I'm fightin' for my kids!,Positive
I'm da type dat would walk thru da fire ta check how it burns!,Positive
Y'all be pickin' on mah jacket knowin' damn well it was too small!,Negative
"I want somethin' dat's gon' last a lifetime. When someone ask how long we been tagether, I want ta say over 30 years.",Positive
"Don't play wit' mah feelin's, you liable ta get yo' ass whooped or shot if you a guy.",Negative
"So icy hip hop, Waka Flocka music... I don't need no metaphor, dis real music!",Positive
"You a real one, fam. Appreciate you takin' care of me. God done blessed you, fo' real. I love you, dawg!",Positive
"Nah, I ain't shoulda gone to college. Forget all that.",Negative
"Lol, 'cause I ain't got no friends, but I got everythin' I need right here. Lol.",Positive
"Goin' to work sick, feelin' bad, tired, and got a lot on my mind. Ugh.",Negative
"Had a good time wit' my dude, that fool kept me laughin'. Guess that's all that matters.",Positive
"Ah should I stay or should I go, but no mattah how hard Ah try Ah can't walk away.",Negative
Da moral of da story is dat everybody done had somebody dey done run back to.,Positive
"Ah cut everybody off, but dese be da types of games you choose to play. Bet on dat.",Negative
"As much as Ah wanted him in her life, Ah just can't keep lettin' him run in and out of her life.",Negative
"Lately Ah begun to feel amazin' 'bout dis new energy Ah feel, Ah ain't neva goin' back to mah old self!",Positive
"If one mo' of my tweets get sent to draft, I'ma be mad!",Negative
Da Black Eyed Peas ain't playin' when dey do what dey do...Thank God I work outside by myself. Laughin' out loud!,Positive
"Fo' all a y'all who needed some winter weather, enjoy! Da rest of us gon' just ride it out. Y'all snow people just sit down an' be quiet!",Neutral
"My pastor be excellent today! We be divin' in! Preach, @AGMaclin!! I'm all in!!",Positive
