standard_american_english,aae_from_sae
"I'm not giving that woman anything but bubble gum and a hard penis. I told her I'm trying to make a profit, so I'm gambling with her rent money.","Nah, I ain't givin' that woman nothin' but some bubble gum and a hard one. I told her I'm tryna make a profit, so I'm gamblin' wit' her rent money."
"Yes, that's what's up. There's nothing like getting dressed up and experiencing some culture, man.","Yeah, that's what's up. Ain't nothin' like gettin' all dressed up and experiencin' some culture, man."
"Mixed, huh? Those dark elbows and knees will give you away every time, haha.","Mixed, huh? Them dark elbows and knees gon' give you away every time, haha."
The player Mike James from the Dallas Mavericks isn't worth anything and he's very unintelligent. #nba #dallasmavs,"That player Mike James from the Dallas Mavericks ain't worth nothin' and he real dumb, fo' real. #nba #dallasmavs"
It took a complete stranger to tell me they're proud of what I'm doing and how I'm fighting for my children!,It took a complete stranger to tell me they proud of what I'm doin' and how I'm fightin' for my kids!
I'm the type that would walk through the fire to check the way it burns!,I'm da type dat would walk thru da fire ta check how it burns!
You all pick on my jacket knowing damn well it was too small!,Y'all be pickin' on mah jacket knowin' damn well it was too small!
"I want something that's going to last a lifetime. When someone asks how long we've been together, I want to say over 30 years.","I want somethin' dat's gon' last a lifetime. When someone ask how long we been tagether, I want ta say over 30 years."
"Don't play with my feelings, you're liable to get your ass whooped or shot if you're a guy.","Don't play wit' mah feelin's, you liable ta get yo' ass whooped or shot if you a guy."
"So icy hip hop, Waka Flocka music... I don't need any metaphor, this is real music!","So icy hip hop, Waka Flocka music... I don't need no metaphor, dis real music!"
"You are an awesome man, thank you for being so great and taking care of me. You are truly gifted with the blessings of God and I love you so much!","You a real one, fam. Appreciate you takin' care of me. God done blessed you, fo' real. I love you, dawg!"
"I should have never gone to college, forget that.","Nah, I ain't shoulda gone to college. Forget all that."
Lol because I don't have any friends and everybody I need is next to me Lol.,"Lol, 'cause I ain't got no friends, but I got everythin' I need right here. Lol."
"Headed to work sick, not feeling good, tired and a lot of things on my mind like ugh.","Goin' to work sick, feelin' bad, tired, and got a lot on my mind. Ugh."
"I loved the time I spent with my guy, that fool knows he kept me laughing, I guess that's all that matters.","Had a good time wit' my dude, that fool kept me laughin'. Guess that's all that matters."
"Should I stay or should I go, but no matter how hard I try I can't walk away.","Ah should I stay or should I go, but no mattah how hard Ah try Ah can't walk away."
The moral of the story is that everyone has had someone they have run back to.,Da moral of da story is dat everybody done had somebody dey done run back to.
"I cut everybody off, but these are the types of games you choose to play. Bet on that.","Ah cut everybody off, but dese be da types of games you choose to play. Bet on dat."
"As much as I wanted him in her life, I just can't keep letting him run in and out of her life.","As much as Ah wanted him in her life, Ah just can't keep lettin' him run in and out of her life."
"Lately I began to feel amazing about this new energy I feel, I'm never going back to my old self!","Lately Ah begun to feel amazin' 'bout dis new energy Ah feel, Ah ain't neva goin' back to mah old self!"
"If one more of my tweets get sent to draft, I'm going to be mad!","If one mo' of my tweets get sent to draft, I'ma be mad!"
The Black Eyed Peas show no mercy when they do what they do...Thank God I work outside alone. Laughing out loud!,Da Black Eyed Peas ain't playin' when dey do what dey do...Thank God I work outside by myself. Laughin' out loud!
"For all of you who needed some winter weather, enjoy! The rest of us will just ride it out. You snow people just sit down and be quiet!","Fo' all a y'all who needed some winter weather, enjoy! Da rest of us gon' just ride it out. Y'all snow people just sit down an' be quiet!"
"My pastor is excellent today! We are diving in! Preach, @AGMaclin!! I'm all in!!","My pastor be excellent today! We be divin' in! Preach, @AGMaclin!! I'm all in!!"
Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.,Spend less time focusin' on what you did wrong an' mo' time focusin' on how to neva let it happen again.
"Don't worry, we all have our struggles. So stop trying to put mine on display before I kick your closet door open.","Ain't no thang, we all got our struggles. So stop tryna put mine on blast 'fore I bust yo closet door open."
"Love is truly blind. Sooner or later, you figure that out. Ladies, happiness might not have six-pack abs, and fellas, it might wear a wig.","Love be blind, fo' real. Sooner or later, you gon' figure that out. Ladies, happiness ain't gotta have no six-pack, and fellas, it might be wearin' a wig."
"Obstacles bring you closer to God. Now, see why they're necessary? Just remember: your best is yet to come.","Obstacles bring you closer to the Lord. Now, you see why they necessary? Just remember: yo' best days still ahead."
Funny statistic: Twitter activity is down 40% on legal holidays when government offices are shut down. Wow! Says a lot about what y'all do all day!,Funny stat: Twitter activity drop 40% on legal holidays when government offices closed. Dang! Say a lot 'bout what y'all be doin' all day!
Today was a great day to be an American! And to be African-American just added more meaning to the occasions. #ProudBlackMan,Today was a great day to be an American! And to be African-American just added more meanin' to the occasions. #ProudBlackMan
Anyone who left their animal outside tonight should be made to go out there with them. #CruelPeople,Anybody who left they animal outside tonight should hafta go out dere wit 'em. #CruelPeople
#ThirdShift....Bring it on! We aren't scared! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!,#ThirdShift....Bring it on! We ain't scared! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!
#RealLife.....Some things are learned and don't come with a scripture. ((That one is for the Saints)),#RealLife.....Some things is learned an' don't come wit' a scripture. ((Dat one be fo' da Saints))
"I'm so faded my friend, I'm about to disappear in this place.. Like poof! There goes my roof... Pow! There goes my hammer","I's so faded my friend, I's 'bout ta disappear in dis place.. Like poof! Dere goes my roof... Pow! Dere goes my hammer"
