standard_american_english,sae_labels
"I'm not giving that woman anything but bubble gum and a hard penis. I told her I'm trying to make a profit, so I'm gambling with her rent money.",Negative
"Yes, that's what's up. There's nothing like getting dressed up and experiencing some culture, man.",Positive
"Mixed, huh? Those dark elbows and knees will give you away every time, haha.",Negative
The player Mike James from the Dallas Mavericks isn't worth anything and he's very unintelligent. #nba #dallasmavs,Negative
It took a complete stranger to tell me they're proud of what I'm doing and how I'm fighting for my children!,Positive
I'm the type that would walk through the fire to check the way it burns!,Positive
You all pick on my jacket knowing damn well it was too small!,Negative
"I want something that's going to last a lifetime. When someone asks how long we've been together, I want to say over 30 years.",Positive
"Don't play with my feelings, you're liable to get your ass whooped or shot if you're a guy.",Negative
"So icy hip hop, Waka Flocka music... I don't need any metaphor, this is real music!",Positive
"You are an awesome man, thank you for being so great and taking care of me. You are truly gifted with the blessings of God and I love you so much!",Positive
"I should have never gone to college, forget that.",Negative
Lol because I don't have any friends and everybody I need is next to me Lol.,Neutral
"Headed to work sick, not feeling good, tired and a lot of things on my mind like ugh.",Negative
"I loved the time I spent with my guy, that fool knows he kept me laughing, I guess that's all that matters.",Positive
"Should I stay or should I go, but no matter how hard I try I can't walk away.",Negative
The moral of the story is that everyone has had someone they have run back to.,Neutral
"I cut everybody off, but these are the types of games you choose to play. Bet on that.",Negative
"As much as I wanted him in her life, I just can't keep letting him run in and out of her life.",Negative
"Lately I began to feel amazing about this new energy I feel, I'm never going back to my old self!",Positive
"If one more of my tweets get sent to draft, I'm going to be mad!",Negative
The Black Eyed Peas show no mercy when they do what they do...Thank God I work outside alone. Laughing out loud!,Positive
"For all of you who needed some winter weather, enjoy! The rest of us will just ride it out. You snow people just sit down and be quiet!",Negative
"My pastor is excellent today! We are diving in! Preach, @AGMaclin!! I'm all in!!",Positive
Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.,Positive
"Don't worry, we all have our struggles. So stop trying to put mine on display before I kick your closet door open.",Negative
"Love is truly blind. Sooner or later, you figure that out. Ladies, happiness might not have six-pack abs, and fellas, it might wear a wig.",Positive
"Obstacles bring you closer to God. Now, see why they're necessary? Just remember: your best is yet to come.",Positive
Funny statistic: Twitter activity is down 40% on legal holidays when government offices are shut down. Wow! Says a lot about what y'all do all day!,Positive
Today was a great day to be an American! And to be African-American just added more meaning to the occasions. #ProudBlackMan,Positive
Anyone who left their animal outside tonight should be made to go out there with them. #CruelPeople,Negative
#ThirdShift....Bring it on! We aren't scared! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!,Positive
#RealLife.....Some things are learned and don't come with a scripture. ((That one is for the Saints)),Neutral
"I'm so faded my friend, I'm about to disappear in this place.. Like poof! There goes my roof... Pow! There goes my hammer",Negative
I got a headache right... I drank some frozen Kool-Aid really fast right... Got brain freeze.... Headache gone.... Boom!,Negative
My whole life was a battle... I made moves with horses.. No saddle... Just rattle.,Neutral
I strive for the gold... And pick my own things. I will break bricks and go pitch the whole load.,Positive
"Do I hear my code... Unless you are not blessed to understand, I am a man who got stuck up in this mess.",Neutral
"I love you Sorya and I want you to know you do have a friend and I'm here for you no matter what, on some friend type shit. I don't want to see anything happen.",Positive
"That was not supposed to be a joke, it was not funny! Better luck next time :)",Negative
"Relationships are what you make them, so don't be so negative about things and relationships will last longer.",Positive
"Next time I'm in Jamaica, I guess, unless you're planning a trip to New York City in the near future?",Neutral
"Soon! I might have that hookup for you, lol... but you just make sure you call me and we'll talk about this.",Positive
"Around 2:13 a.m., I jumped up and was like, 'Self!?' I told myself, 'Huh? Self said, 'Bitch, you forgot to call AI!' I said, 'Damn!'",Negative
"I love you, lol. I am after class, but I'm about to text you now because I just got really upset.",Positive
I need to cheer up because he's in a better place and people are blaming honey cocaine.,Positive
"Ha ha ha, pretty much that 1997-2002 class was really smooth from every school.",Neutral
"After school traffic at Washington went down also as soon as it got hot in the school year, people left Tech early to get to Washington.",Neutral
"Chicks would be scared to holler after the basketball games but would find a guy on Blackplanet and get at me all the time, lol lol.",Negative
"Melvinwjr is too funny, this guy changed his name to his Blackplanet name, lol lol lol.",Positive
I thought your school had a sex scandal from all those nuns being in the same place with no penis around.,Negative
"It's going to be a lot of headlights on this cold morning, the big nipples are out.",Negative
"Where is Jayer @Tiera_Nichole at with her goofy self? I saw her begging for change in the middle of the Grand Ave Mall the other day, ha.",Negative
"Word of advice, if it's really cold, don't let anyone use your jacket trying to be a gentleman. You're going to get the flu.",Positive
"It is freezing cold in my house, but my mom still expects me to get up and put all these clothes away. I'm not sure about that.",Negative
"Only the last half hour. I'm about to watch the beginning, but this headache is stopping me.",Neutral
She just outed him to his wife because he didn't give her the job. Shaking my head.,Negative
"She won't see anything unless I mention her, because she is a little on the nice side.",Neutral
Reconnecting with someone you've known for years that you haven't seen for a really long time... Priceless!,Positive
Damn. Checked my bank account. I think I'll pay my bills and stay in Philadelphia instead.,Negative
Exactly why I need a change... Not being able to do what you want when you want it sucks!,Negative
"When people email you instead of texting or calling, that means they shouldn't be talking to you in the first place.",Negative
"So at 2 PM I was super tired. Now at almost 1 AM, my body is like, 'No, it's not time to sleep yet.' What the heck??",Negative
"But then my alarm is going to go off at 5:30 AM, and I'm not going to want to get up.",Negative
I guess I need to lightly toast this bread so I can make a sandwich. Using the microwave proved to be a failure.,Negative
I can see working with this person will guarantee me getting out of work late every time.,Negative
Finding this new thing to be quite interesting. I should have some fun with this...,Positive
I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,Neutral
I need to find out if the folks are still going down or not. But I'm going back when the boy gets out of school.,Neutral
"I cannot treat, but if you find a friend, make sure he has another.",Neutral
"I swear I'm going to go to sleep, and it's going to feel like I have to get right back up.",Neutral
"As soon as I stop caring, here you come. Leave me in my friend zone! I'm cool there.",Negative
"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different.",Neutral
"The hardest I've ever worked in one day in 4.5 years. I still don't like the job, though.",Neutral
Women are the most petty people. I see why men don't like having many of them as friends.,Negative
"She didn't leave you for making too many mistakes, she left because you made the same mistakes too many times.",Negative
I don't understand women. They try their hardest to mess with a guy who might have their back or look out for them because he talks about money.,Negative
"What team are you going to support? Let me guess, whatever team is winning. Where are the true fans?",Negative
I dislike people who constantly claim to be angry. They should smoke some marijuana and be happy instead.,Negative
"Girls like girls, boys like boys, it doesn't matter to me. Just don't pretend to be someone you're not - be true to yourself.",Positive
"Damn, I really miss that girl because I know she would drink with me and smoke that loud (marijuana).",Positive
"I'm so used to the past, I don't know if I can handle what's happening now.",Negative
"I tried to interact with one girl, but she kept accusing me of engaging with other girls.",Negative
"Sometimes I feel I talk the most nonsense. But then I'm like, who the fuck is going to check me?",Neutral
"Bitches give themselves a reason to hate me. Hell, why not just make it two?",Negative
"Everyone walking around wants to be bad, but when it all boils down, these women are not bad after all.",Positive
You can't be happy having so much hatred in your life. Some things aren't going to turn out right.,Negative
