african_american_english,standard_american_english
Bitch cant get shit from me but bubble gum nd hard dick from me told da bitch im tryna make a flip im shootin dice wit er rent money !,"I'm not giving that woman anything but bubble gum and a hard penis. I told her I'm trying to make a profit, so I'm gambling with her rent money."
@islandboi_B yes that's what's up. Nothin like getting dressed up and getting some culture man.,"Yes, that's what's up. There's nothing like getting dressed up and experiencing some culture, man."
Mixed huh !? Those black ass knees and elbows will give you away every time lol,"Mixed, huh? Those dark elbows and knees will give you away every time, haha."
The bul Mike James from @mavs ain't shit n he dumb as shit. #nba #dallasmavs,The player Mike James from the Dallas Mavericks isn't worth anything and he's very unintelligent. #nba #dallasmavs
It took for a whole stranger to tell me he PROUD of what I'm doing n how I'm fighting for my babies!!!,It took a complete stranger to tell me they're proud of what I'm doing and how I'm fighting for my children!
I'm the type that would walk thru the fire to check the way it burn!!!,I'm the type that would walk through the fire to check the way it burns!
@Smiley_Klc @Yung_410Prince yall pick on my jacket knowing damn well it was too small !!,You all pick on my jacket knowing damn well it was too small!
I want sumthn that's gonna last a life time when sumone ask how long we been together I wanna say over 30 years,"I want something that's going to last a lifetime. When someone asks how long we've been together, I want to say over 30 years."
Don't play wit my feelings your liable to get your ass whooped or shot if u a nigga,"Don't play with my feelings, you're liable to get your ass whooped or shot if you're a guy."
"so icy hip hop,  Waka flock music . . I dont need no metaphor this is real music!","So icy hip hop, Waka Flocka music... I don't need any metaphor, this is real music!"
"@cstylez78 U r an awesome man, thank u 4 being so great &amp; taking care of me. U r truly gifted w/the blessings of God &amp; I love u so much!","You are an awesome man, thank you for being so great and taking care of me. You are truly gifted with the blessings of God and I love you so much!"
"Call up 2 diz skool, I should have never took my ass 2 college fuck that shit","I should have never gone to college, forget that."
@No_Bullshxt_ Lol cos I ain't got No friends and everybody I need be next to me Lol.,Lol because I don't have any friends and everybody I need is next to me Lol.
"Headed to work sick not feeling good , tired &amp; alot of things on my mind like ugh","Headed to work sick, not feeling good, tired and a lot of things on my mind like ugh."
"Loved da tyme i spent wit my guy dat fool kno he kept me laughing i guess thtz,all tht matters","I loved the time I spent with my guy, that fool knows he kept me laughing, I guess that's all that matters."
Should istay or should igo bt no matter how hard itry i cant walk away,"Should I stay or should I go, but no matter how hard I try I can't walk away."
See the moral of the story is everybody done had somebody that they ah run bck too,The moral of the story is that everyone has had someone they have run back to.
Swear iCut Everybody Off But These Tha Type Of Games You Choose To Play  Bet That Up,"I cut everybody off, but these are the types of games you choose to play. Bet on that."
As Much As iWanted Him In Ha Life iJust Cant Keep Letting Him Run In &amp;' Out Of Ha Life,"As much as I wanted him in her life, I just can't keep letting him run in and out of her life."
"Lately I began to feel amazing about this new energy I feel , I'm never going back to my old self!","Lately I began to feel amazing about this new energy I feel, I'm never going back to my old self!"
man if one more of my tweets get send to draft imma be mad !!!,"If one more of my tweets get sent to draft, I'm going to be mad!"
Black Eyed Peas show NO MERCY when they do what they do...Thank God I work outside ALONE. LOL!,The Black Eyed Peas show no mercy when they do what they do...Thank God I work outside alone. Laughing out loud!
For all of you that needed some WINTER WEATHER...ENJOY!  The rest of us will just ride it out. Yall SNOW people just SAT DOWN AND HUSH!!,"For all of you who needed some winter weather, enjoy! The rest of us will just ride it out. You snow people just sit down and be quiet!"
