aae_from_sae,sentiment
I ain't givin' her nothin' but some bubble gum and a hard time. I told her I'm tryna make a profit; I'm gamblin' with her rent money!,Negative
"Yeah, that's right. Ain't nothin' like gettin' dressed up and feelin' some culture, ya feel me?",Positive
"Mixed, huh? Those dark knees and elbows gon' give you away every time, lol.",Neutral
That dude Mike James from the Mavericks ain't good and he ain't really smart.,Negative
It took a whole stranger to tell me he proud of what I'm doin' and how I'm fightin' for my kids!,Positive
I'm the type of person who'd walk through the fire just to see how it burn!,Positive
@Smiley_Klc @Yung_410Prince y'all always clownin' me 'bout my jacket knowin' good and well it was too small!,Negative
"I want somethin' that gon' last a lifetime; when folks ask how long we been together, I wanna say over 30 years.",Positive
Don't play with my feelings; you might end up gettin' hurt or shot if you a man.,Negative
"So icy hip hop, Waka Flocka's music... I don't need no metaphors; this here is real music!",Positive
"You a real one, thank you for bein' so good to me. You truly blessed by God and I love you mad much!",Positive
"I called up to this school, I shoulda never went to college, forget that.",Negative
"Lol 'cause I ain't got no friends and everybody I need ain't around me, lol.",Negative
"I'm headin' to work sick, ain't feelin' good, tired, and got a lot on my mind, like ugh.",Negative
"I loved the time I spent with my dude, that fool had me laughin', I guess that's all that really matter.",Positive
"Should I stay or should I bounce? But no matter how hard I try, I can't just walk away.",Neutral
The moral of the story is everybody done had somebody they ran back to.,Neutral
"I swear I cut everybody off, but these the kinda games you choose to play. Bet on that.",Negative
"As much as I wanted him in her life, I just can't keep lettin' him run in and outta her life.",Negative
"Lately, I been feelin' real good 'bout this new energy I got. I'm never goin' back to my old self!",Positive
"Man, if one mo' of my tweets get sent to drafts, I'ma be mad!",Negative
The Black Eyed Peas ain't showin' no mercy when they do what they do. Thank God I work outside by myself. LOL!,Positive
"For all y'all who needed some winter weather, enjoy! The rest of us gon' just ride it out. Y'all snow people just sit down and be quiet!",Neutral
"My pastor on fire today! We diving in! Preach, @AGMaclin! I'm all in!",Positive
Spend less time focusin' on what you did wrong and more time focusin' on how to make sure it never happen again.,Positive
"Ain't no need to worry, we all got our struggles. So stop tryin' to put mine on blast 'fore I open up your closet.",Neutral
"Love really be blind. Sooner or later, you gon' figure that out. Ladies, happiness might not come with six-pack abs, and fellas, it might be wearin' a wig.",Neutral
"Obstacles bring you closer to God, ya feel me? Now you see why they necessary? Just remember: your best is still comin'.",Positive
Funny stat: Twitter activity drop 40% on them legal holidays when government offices closed. Wow! That say a lot 'bout what y'all do all day!,Neutral
Today was a real good day to be an American! Bein' African American made it even more special. #ProudBlackMan,Positive
Ain't nobody who left they animal outside tonight should be made to go out there with 'em. #CruelPeople,Negative
#ThirdShift....Bring it on! We ain't scared! Snow??? We laugh at snow!! **in my quiet punk voice** {{Please Baby Jesus...Not tonight}} LOL!!,Positive
#RealLife.....Some things you learn ain't got no scripture to it. ((That one for the Saints)),Neutral
"I'm so faded, my friend, I'm 'bout to disappear in this place... Like poof! There go my roof... Pow! There go my hammer.",Negative
I got a headache right now... I drank some frozen Kool-Aid real fast... Got brain freeze.... Headache gone.... Boom!,Positive
"My whole life been a struggle. I made moves with horses, no saddle, just a rattle.",Negative
