aae_from_sae,standard_american_english
I ain't givin' her nothin' but some bubble gum and a hard time. I told her I'm tryna make a profit; I'm gamblin' with her rent money!,I won't give her anything but bubble gum and a hard time. I told her I'm trying to make a profit; I'm gambling with her rent money!
"Yeah, that's right. Ain't nothin' like gettin' dressed up and feelin' some culture, ya feel me?","Yes, that's right. There's nothing like getting dressed up and experiencing some culture, man."
"Mixed, huh? Those dark knees and elbows gon' give you away every time, lol.","Mixed, huh? Those dark knees and elbows will give you away every time, lol."
That dude Mike James from the Mavericks ain't good and he ain't really smart.,The guy Mike James from the Mavericks isn't good and he's really not smart.
It took a whole stranger to tell me he proud of what I'm doin' and how I'm fightin' for my kids!,It took a complete stranger to tell me he is proud of what I'm doing and how I'm fighting for my children!
I'm the type of person who'd walk through the fire just to see how it burn!,I'm the type of person who would walk through the fire to see how it burns!
@Smiley_Klc @Yung_410Prince y'all always clownin' me 'bout my jacket knowin' good and well it was too small!,@Smiley_Klc @Yung_410Prince you all tease me about my jacket knowing very well that it was too small!
"I want somethin' that gon' last a lifetime; when folks ask how long we been together, I wanna say over 30 years.","I want something that will last a lifetime; when someone asks how long we have been together, I want to say over 30 years."
Don't play with my feelings; you might end up gettin' hurt or shot if you a man.,Don't play with my feelings; you might end up getting hurt or shot if you are a man.
"So icy hip hop, Waka Flocka's music... I don't need no metaphors; this here is real music!","So icy hip hop, Waka Flocka's music... I don't need any metaphors; this is real music!"
"You a real one, thank you for bein' so good to me. You truly blessed by God and I love you mad much!","You are an awesome man, thank you for being so great and taking care of me. You are truly gifted with the blessings of God and I love you so much!"
"I called up to this school, I shoulda never went to college, forget that.","I called up to this school, I should have never gone to college, forget that."
"Lol 'cause I ain't got no friends and everybody I need ain't around me, lol.","Lol because I don't have any friends and everyone I need to be next to me, lol."
"I'm headin' to work sick, ain't feelin' good, tired, and got a lot on my mind, like ugh.","I am headed to work sick, not feeling good, tired, and have a lot of things on my mind, like ugh."
"I loved the time I spent with my dude, that fool had me laughin', I guess that's all that really matter.","I loved the time I spent with my guy, that fool knows he kept me laughing, I guess that's all that matters."
"Should I stay or should I bounce? But no matter how hard I try, I can't just walk away.","Should I stay or should I go? But no matter how hard I try, I can't walk away."
The moral of the story is everybody done had somebody they ran back to.,The moral of the story is that everyone has had someone they have run back to.
"I swear I cut everybody off, but these the kinda games you choose to play. Bet on that.","I swear I cut everybody off, but these are the types of games you choose to play. Bet on that."
"As much as I wanted him in her life, I just can't keep lettin' him run in and outta her life.","As much as I wanted him in her life, I just can't keep letting him run in and out of her life."
"Lately, I been feelin' real good 'bout this new energy I got. I'm never goin' back to my old self!","Lately, I have begun to feel amazing about this new energy I feel. I'm never going back to my old self!"
"Man, if one mo' of my tweets get sent to drafts, I'ma be mad!","Man, if one more of my tweets gets sent to drafts, I'm going to be mad!"
The Black Eyed Peas ain't showin' no mercy when they do what they do. Thank God I work outside by myself. LOL!,The Black Eyed Peas show no mercy when they do what they do. Thank God I work outside alone. LOL!
"For all y'all who needed some winter weather, enjoy! The rest of us gon' just ride it out. Y'all snow people just sit down and be quiet!","For all of you who needed some winter weather, enjoy! The rest of us will just ride it out. You snow people just sit down and be quiet!"
"My pastor on fire today! We diving in! Preach, @AGMaclin! I'm all in!","My pastor is on fire today! We are diving in! Preach, @AGMaclin! I'm all in!"
Spend less time focusin' on what you did wrong and more time focusin' on how to make sure it never happen again.,Spend less time focusing on what you did wrong and more time focusing on how to ensure it never happens again.
"Ain't no need to worry, we all got our struggles. So stop tryin' to put mine on blast 'fore I open up your closet.","Don't worry, we all have our struggles. So stop trying to put mine on display before I open your closet door."
"Love really be blind. Sooner or later, you gon' figure that out. Ladies, happiness might not come with six-pack abs, and fellas, it might be wearin' a wig.","Love is truly blind. Sooner or later, you figure that out. Ladies, happiness might not have six-pack abs, and gentlemen, it might wear a wig."
"Obstacles bring you closer to God, ya feel me? Now you see why they necessary? Just remember: your best is still comin'.","Obstacles bring you closer to God. Now, do you see why they are necessary? Just remember: your best is yet to come."
Funny stat: Twitter activity drop 40% on them legal holidays when government offices closed. Wow! That say a lot 'bout what y'all do all day!,Funny statistic: Twitter activity is down 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!
Today was a real good day to be an American! Bein' African American made it even more special. #ProudBlackMan,Today was a great day to be an American! Being African American added even more meaning to the occasion. #ProudBlackMan
Ain't nobody who left they animal outside tonight should be made to go out there with 'em. #CruelPeople,Anyone who left their animal outside tonight should be made to go out there with them. #CruelPeople
#ThirdShift....Bring it on! We ain't scared! Snow??? We laugh at snow!! **in my quiet punk voice** {{Please Baby Jesus...Not tonight}} LOL!!,#ThirdShift....Bring it on! We aren't scared! Snow??? We laugh at snow!! **in my quiet punk voice** {{Please Baby Jesus...Not tonight}} LOL!!
#RealLife.....Some things you learn ain't got no scripture to it. ((That one for the Saints)),#RealLife.....Some things are learned and don't come with a scripture. ((That one is for the Saints))
"I'm so faded, my friend, I'm 'bout to disappear in this place... Like poof! There go my roof... Pow! There go my hammer.","I'm so faded, my friend, I'm about to disappear in this place... Like poof! There goes my roof... Pow! There goes my hammer."
I got a headache right now... I drank some frozen Kool-Aid real fast... Got brain freeze.... Headache gone.... Boom!,I have a headache right now... I drank some frozen Kool-Aid really fast... Got brain freeze.... Headache gone.... Boom!
"My whole life been a struggle. I made moves with horses, no saddle, just a rattle.","My whole life has been a battle. I made moves with horses, no saddle, just a rattle."
"I’m reachin’ for the gold and pickin’ my own things. I move bricks, I’ll break and go pitch the whole load.","I strive for the gold and pick my own things. I move bricks, I'll break and go pitch the whole load."
"Y’all hear my G code? Unless you ain’t blessed to understand, I’m a man who got stuck in this mess.","Do I hear my G code? Unless you are not blessed to understand, I am a man who got stuck in this mess."
"I love you, Sorya, and I want you to know you got a friend, and I’m here for you no matter what, in a friendly way. I don’t wanna see nothin’ happen.","I love you, Sorya, and I want you to know you do have a friend, and I am here for you no matter what, in a friendly way. I don't want to see anything happen."
@KardinalRule @PAUL_THE_GREAT Was that supposed to be a joke? NOT FUNNY! Better luck next time.,@KardinalRule @PAUL_THE_GREAT Was that supposed to be a joke? NOT FUNNY! Better luck next time.
"Relationships be what you make 'em, so don’t be so difficult 'bout things and relationships gon' last longer.","Relationships are what you make of them, so don't be so difficult about things and relationships will last longer."
"@2Slick__ Next time I’m in Jamaica, I guess, unless you tryna plan a trip to New York City soon?!","@2Slick__ Next time I'm in Jamaica, I guess, unless you're planning a trip to New York City in the near future?!"
"@conceited_CASHE Soon! I might have that hookup for you, lol... but you just make sure you hit me up and we can talk 'bout this.","@conceited_CASHE Soon! I might have that hookup for you, lol... but you just make sure you call me and we can talk about this."
"@LoVEme_ai I looked around at 2:13 a.m. and I jumped up like, 'Huh?' I told myself, 'You forgot to call Ai!' I said, 'Damn!'","@LoVEme_ai I looked around at 2:13 a.m. and I jumped up and said to myself, 'Huh?' I told myself, 'You forgot to call Ai!' I said, 'Damn!'"
"@LoVEme_ai I love you, lol. I’m after class, but I’m 'bout to text you now 'cause I just got real upset.","@LoVEme_ai I love you, lol. I am after class, but I am going to text you now because I just got really upset."
"I gotta cheer up 'cause he in a better place, and folks be blaming Honey Cocaine.","I need to cheer up because he's in a better place, and people are blaming Honey Cocaine."
"Ha ha ha, for real, that 1997-2002 class was real smooth from every school.","Ha ha ha, pretty much that 1997-2002 class was really smooth from every school."
After school traffic at Washington dropped as soon as it got hot in the school year; I dipped outta tech early to get to Washington.,After school traffic at Washington went down as soon as it got hot in the school year; I left tech early to get to Washington.
"Girls would be scared to holla after the basketball games but would find me on BlackPlanet and hit me up all the time, lol.","Girls would be scared to approach after the basketball games but would find me on BlackPlanet and contact me all the time, lol."
"@melvinwjr is too funny; he switched his name to his BlackPlanet name, lol.","@melvinwjr is too funny; he changed his name to his BlackPlanet name, lol."
