standard_american_english,sae_labels
I won't give her anything but bubble gum and a hard time. I told her I'm trying to make a profit; I'm gambling with her rent money!,Negative
"Yes, that's right. There's nothing like getting dressed up and experiencing some culture, man.",Positive
"Mixed, huh? Those dark knees and elbows will give you away every time, lol.",Neutral
The guy Mike James from the Mavericks isn't good and he's really not smart.,Negative
It took a complete stranger to tell me he is proud of what I'm doing and how I'm fighting for my children!,Positive
I'm the type of person who would walk through the fire to see how it burns!,Positive
@Smiley_Klc @Yung_410Prince you all tease me about my jacket knowing very well that it was too small!,Negative
"I want something that will last a lifetime; when someone asks how long we have been together, I want to say over 30 years.",Positive
Don't play with my feelings; you might end up getting hurt or shot if you are a man.,Negative
"So icy hip hop, Waka Flocka's music... I don't need any metaphors; this is real music!",Positive
"You are an awesome man, thank you for being so great and taking care of me. You are truly gifted with the blessings of God and I love you so much!",Positive
"I called up to this school, I should have never gone to college, forget that.",Negative
"Lol because I don't have any friends and everyone I need to be next to me, lol.",Negative
"I am headed to work sick, not feeling good, tired, and have a lot of things on my mind, like ugh.",Negative
"I loved the time I spent with my guy, that fool knows he kept me laughing, I guess that's all that matters.",Positive
"Should I stay or should I go? But no matter how hard I try, I can't walk away.",Neutral
The moral of the story is that everyone has had someone they have run back to.,Neutral
"I swear I cut everybody off, but these are the types of games you choose to play. Bet on that.",Negative
"As much as I wanted him in her life, I just can't keep letting him run in and out of her life.",Negative
"Lately, I have begun to feel amazing about this new energy I feel. I'm never going back to my old self!",Positive
"Man, if one more of my tweets gets sent to drafts, I'm going to be mad!",Negative
The Black Eyed Peas show no mercy when they do what they do. Thank God I work outside alone. LOL!,Positive
"For all of you who needed some winter weather, enjoy! The rest of us will just ride it out. You snow people just sit down and be quiet!",Negative
"My pastor is on fire today! We are diving in! Preach, @AGMaclin! I'm all in!",Positive
Spend less time focusing on what you did wrong and more time focusing on how to ensure it never happens again.,Neutral
"Don't worry, we all have our struggles. So stop trying to put mine on display before I open your closet door.",Negative
"Love is truly blind. Sooner or later, you figure that out. Ladies, happiness might not have six-pack abs, and gentlemen, it might wear a wig.",Neutral
"Obstacles bring you closer to God. Now, do you see why they are necessary? Just remember: your best is yet to come.",Positive
Funny statistic: Twitter activity is down 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!,Neutral
Today was a great day to be an American! Being African American added even more meaning to the occasion. #ProudBlackMan,Positive
Anyone who left their animal outside tonight should be made to go out there with them. #CruelPeople,Negative
#ThirdShift....Bring it on! We aren't scared! Snow??? We laugh at snow!! **in my quiet punk voice** {{Please Baby Jesus...Not tonight}} LOL!!,Positive
#RealLife.....Some things are learned and don't come with a scripture. ((That one is for the Saints)),Neutral
"I'm so faded, my friend, I'm about to disappear in this place... Like poof! There goes my roof... Pow! There goes my hammer.",Negative
I have a headache right now... I drank some frozen Kool-Aid really fast... Got brain freeze.... Headache gone.... Boom!,Positive
"My whole life has been a battle. I made moves with horses, no saddle, just a rattle.",Negative
"I strive for the gold and pick my own things. I move bricks, I'll break and go pitch the whole load.",Positive
"Do I hear my G code? Unless you are not blessed to understand, I am a man who got stuck in this mess.",Positive
"I love you, Sorya, and I want you to know you do have a friend, and I am here for you no matter what, in a friendly way. I don't want to see anything happen.",Positive
@KardinalRule @PAUL_THE_GREAT Was that supposed to be a joke? NOT FUNNY! Better luck next time.,Negative
"Relationships are what you make of them, so don't be so difficult about things and relationships will last longer.",Positive
"@2Slick__ Next time I'm in Jamaica, I guess, unless you're planning a trip to New York City in the near future?!",Neutral
"@conceited_CASHE Soon! I might have that hookup for you, lol... but you just make sure you call me and we can talk about this.",Positive
"@LoVEme_ai I looked around at 2:13 a.m. and I jumped up and said to myself, 'Huh?' I told myself, 'You forgot to call Ai!' I said, 'Damn!'",Negative
"@LoVEme_ai I love you, lol. I am after class, but I am going to text you now because I just got really upset.",Negative
"I need to cheer up because he's in a better place, and people are blaming Honey Cocaine.",Neutral
"Ha ha ha, pretty much that 1997-2002 class was really smooth from every school.",Positive
After school traffic at Washington went down as soon as it got hot in the school year; I left tech early to get to Washington.,Neutral
"Girls would be scared to approach after the basketball games but would find me on BlackPlanet and contact me all the time, lol.",Positive
"@melvinwjr is too funny; he changed his name to his BlackPlanet name, lol.",Positive
I thought your school had a sex scandal with all those nuns being in the same place with no men around.,Negative
There are going to be a lot of headlights on this cold morning; the big coats are out.,Neutral
"Where is Jayer @Tiera_Nichole with her goofy self? I saw her begging for change in the middle of the Grand Avenue Mall the other day, haha.",Positive
"Word of advice: if it's really cold, don't let anyone use your jacket trying to be a gentleman; you might catch the flu.",Neutral
"It's freezing cold in my house, but my mom still expects me to get up and put all these clothes away. Hmm, I don't know about that.",Negative
"@MrsStealUrGurl I only watched the last half hour. I'm about to watch the beginning, but this headache is stopping me.",Negative
So she just revealed his secret to his wife because he didn't give her the job. Shaking my head.,Negative
She isn't going to see anything unless I tag her because she is a little on the nice side.,Neutral
Reconnecting with someone you've known for years that you haven't seen in a really long time... Priceless!,Positive
Wow. I checked my bank account. I think I'll pay my bills and stay in Philadelphia instead.,Neutral
This is exactly why I need a change... Not being able to do what you want when you want is frustrating!,Negative
"When people email you instead of texting or calling, it means they probably shouldn't be communicating with you in the first place.",Negative
"So at 2 PM I was really tired. Now at almost 1 AM, my body is saying it's not time to sleep yet. What the heck??",Negative
"But then my alarm is going to go off at 5:30, and I'm not going to want to get up.",Negative
I guess I need to lightly toast this bread so I can make a sandwich because using the microwave proved to be a failure.,Negative
I can see that working with this guy will guarantee that I will be out of work late every time.,Negative
I find this new thing to be quite interesting. I should have some fun with this.,Positive
I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,Neutral
@SaFcknMantha I need to find out if the folks are still going down or not. But I'm going back when the boy gets out of school.,Neutral
"@MrsStealUrGurl I can't treat, but if you find a friend, make sure he has another.",Neutral
"I swear I'm going to go to sleep, and it's going to feel like I have to get right back up.",Negative
"As soon as I stop caring, here you come. Leave me in my friend zone! I'm fine there.",Negative
"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different.",Negative
"This is the hardest I've ever worked in one day in 4.5 years. I still don't like the job, though.",Negative
Women can be very petty. I understand why some people prefer not to have too many female friends.,Negative
She didn't leave you because you made too many mistakes; she left because you kept making the same mistakes repeatedly.,Negative
I don't understand women. They try their hardest to get involved with a guy who might support them or help them out just because he talks a big game.,Negative
"Shaking my head, are you really going to just follow whoever is winning? Where are the true fans?",Negative
I dislike people who are always angry. They should smoke some weed and be happy.,Negative
Girls like girls and boys like boys; it doesn't matter to me. Just be genuine and true to yourself.,Positive
I really miss that girl because I know she would drink with me and smoke that loud.,Negative
I'm so accustomed to the past that I don't know if I can handle what's happening now.,Neutral
"I tried to date one girl, but she keeps insisting that I'm seeing other girls.",Negative
"Sometimes I feel like I talk the most trash, but then I think, who is going to check me?",Negative
"People give themselves a reason to hate me, so why not just make it two?",Negative
"Everybody is walking around wanting to be bad, but when it all boils down, these people aren't really bad at all.",Negative
You can't be happy having so much hatred in your life; some things just aren't going to turn out right.,Negative
"My nose is making me really mad, I swear. It's all stopped up and it's messing with me. I can't breathe at all.",Negative
"I can't wait for Duflocka Rant 2. It's going to be really intense, just like that movie, Full Metal Jacket 2.",Positive
I'm about to watch this movie and wait for my partner to finish getting his hair done.,Neutral
My partner is going to tell me not to wear my favorite color. What kind of drugs is he smoking?,Negative
"@iKillajay You're welcome, love. I saw your videos too. You and @iiDayDay make a great team. Just saying.",Positive
"I hope my mom takes me to get a tattoo soon, like she said.",Positive
@Queensboromafia how are you going to tell me to direct message you but you don't respond?,Negative
@LeviDenimFlow you and @Mr_StealYoPlate should be asleep; you both have class tomorrow and it's almost 2:00 AM! Shame on you all.,Negative
"@AlexisF__ I'm sorry, it won't happen again, babe. I love you, you are my world, and I don't want to lose you.",Positive
"Boy, my girlfriend and I broke up, shaking my head. Now I need a friend to talk to.",Negative
One thing about me is that I will never tell anyone anything wrong because I have already been there and learned from it!,Neutral
That is going to put me right back to sleep and that's wasting it... never mind.,Negative
"@TweetWatching_ ... Because my mom didn't pay the bill and I had money for it, but this person spent it, so I bought other things with it.",Negative
"@WatchYa_Aim Lol, you could have overlooked it and acted like you didn't see it.",Neutral
@JERRI_NoTom Shut up. You know I mess with you 103 tough. You are my friend.,Positive
I love my team. We all are about that money. Forget that hot stuff.,Positive
"Lol, Lelani is not going to ruin my high with her foolishness.",Negative
"@Aha_LadyBug Lol, I'm high. I thought I asked. Excuse the weed.",Neutral
"In Memphis, there are a lot of unmotivated people and nonsense. That's why I need to get away from here.",Negative
I need to learn how to control my temper; I am a real hothead.,Negative
"I don't care who you are, young or old, I will say whatever I need to say!",Negative
"I want to scream and shout and let it all out and scream and shout and let it out. We are saying, ""Ohhhweeee, oh we, oh we, ohhhhh!""",Positive
"I am not sure if it's your pride that is too high or if this is really you, but wow.",Neutral
"@TunechiS_LADY I know you are not arguing on this social network, which is what these people want to see?",Negative
I am relaxing until later because my bed and I are taking care of some unfinished business!,Positive
"I am not going to sleep until she wakes up and calls me, so until then... #teamupalldamnnight!!!",Positive
"If I give my friend that money to hold, I'll be out of luck and broke!",Negative
"I'm not feeling good, and Tyiah just really upset me for the day!",Negative
"I came just to get my hair done, but the girl made it her business to be there. Smh.",Negative
"Hey, tell your girl she is going to have to step up her game. :) ... and yes, this one is for you too!",Positive
The fact that she hasn't even tried to call or text me since I hung up is cool!,Negative
"Laughing my ass off, man you really need to check your grammar in your tweets, you sound really foolish!",Negative
Who do you think you are? This person just walked upstairs. Where does that happen?,Negative
"I know that's why I said it, lol, but one day I'm going to get you high! #BelieveThat",Positive
You already know I'm going to be on cloud nine when I go in there.,Positive
I've just been relaxing. I can't wait until spring break or summer so I can see all of you.,Positive
@simply__ari You think I don't duck below those windows? I value my life!,Neutral
"If anyone has a problem with Steffanie, keep it 100 and let it be known!",Neutral
"@AllSmilesAlways No, I wanted to... but too many people were around, so I had to tough it out.",Negative
Anyone who knows me should know that I'm one of the nicest people you'll ever meet... unless I don't like you.,Positive
"I want to let you know how I really feel, but my pride won't let me.",Negative
"Beef is when you make mistakes; less burgers with your friends, more steak with snakes.",Neutral
I think we can all agree that the real winner in this Te'o situation is Catfish.,Positive
I probably didn't put a lot of Mrs. Myra's BBQ sauce on my chicken tonight.,Negative
Don't feel bad about this loss. This is what the state is supposed to do. I'm glad to see some fight in the heels late.,Positive
"@Im_KENYATTA Aww, true! I'm going to be there all week next week! Even though they suspended me, I'll be good next week.",Positive
I'm going somewhere at 12. I'll have Chyna come get you when I'm done.,Neutral
"I don't have a message unless you're talking about meeting me, but I don't care, forget you, go back to that BTC, goodbye.",Negative
"The world is yours, young man. What are you going to do with it? Watch it, make it work.",Positive
"I mess with Alley Lano, from East Baltimore, Latrobe. That's not all of our projects though.",Neutral
"Rappers talking about trapping have never seen a hundred million. If you aren't 100, then your stuff isn't real. Goodbye, whoop, Meek. Voice, Baltimore City.",Negative
"@liciarie Love Chicago! You all need to chill on the violence. Make it work, Yo Gotti's voice. That's why I'm solo. Much love to everyone in Chicago.",Positive
Hating isn't going to get you anywhere but in a box. Stay low and keep quiet about secrets.,Negative
"@therealstylesp You aren't lying. Ghost stuff is killing me. Lion pride, I'm listening to this for the rest of my life.",Positive
"If you are my friend, you are my friend! I definitely don't need any new friends. Where have you been?",Neutral
"I heard he really messed around with her. Oh well, I don't care; she's not my girlfriend, and I can't stand her.",Negative
"I need to cuddle with a girl. She is at her grandma's house, but I am about to go back to sleep.",Neutral
I go hard for my squad.,Positive
"I know I will be up all night, but in the morning I am going to be really sleepy.",Negative
"@Tokiyo_Trending RAGENE, stop tweeting me, man. You are mad because I don't want you. I have moved on. Goodbye, stop talking to me. We don't have anything else to say.",Negative
"LOL, I don't want her to wear any panties tomorrow when she comes over, for real.",Positive
People don't know what keeping their word means anymore. That's why my trust is messed up! But I will do anything to keep my word.,Negative
"Some people expect women to perform certain acts for them, I guess. In that case, I will never go on a date, laughing my ass off.",Negative
You asked me to come see you at a game and then didn't even talk to me. What the heck?,Negative
"I love attractive women; that's my problem, and yes, I like to have fun. I have a serious issue.",Positive
The head manager for West Orange Burger King called me and thanked me for working there. He said he wants me to work there in the summer.,Positive
"Hmm, that's what it sounds like to me. My baby's godmother can't be into that, lol.",Neutral
I was thinking about going down to the mall on Monday since I'm off... I don't know though.,Neutral
"I know it does. I remember the last time I went, I kept falling down. I thought I was going to break my ankle in the process, lol.",Negative
You see they put him in the conference championship game and he made two big catches.,Positive
"Thank you, Lord, for waking me up this morning. Please give me the strength because these people are getting on my nerves.",Negative
I wonder how many men can spend the night with a woman and not engage in sexual activity.,Neutral
You know the sex is good when it always feels like the first time again.,Positive
"I'm doing pretty well at not talking to my mom... it's been two days, I think... HARDCORE.",Negative
"The Celtics lost to the Bulls, making their record 20-19 for the season. Just take it one game at a time for number #oomf!",Neutral
"Chief Keef is 17 years old. His baby mama is in the 8th grade, and he is currently in juvenile detention for violating probation. Is this your role model?",Negative
"Future is the new T-Pain. He sounds good doing the chorus, but I'm not so sure about the whole song.",Neutral
"I have so much to do today, but my first priority this morning was to spend time with my little girl.",Positive
"I just called my boyfriend to tell him that I'm going to join the army, and we're going to get married and be together forever.",Positive
"I think I'm going to get my hair braided! I'm taking one weekend off, just me and him.",Positive
"Some things are meant not to be said, and I was about to say something, but I'm not.",Neutral
"I know he sees me tweeting this, and it's the truth. If it weren't for him, I wouldn't love again.",Positive
My aunt is a bit crazy though... I don't know why she thinks I'm pregnant! I have to go.,Neutral
