standard_american_english,african_american_english
I won't give her anything but bubble gum and a hard time. I told her I'm trying to make a profit; I'm gambling with her rent money!,Bitch cant get shit from me but bubble gum nd hard dick from me told da bitch im tryna make a flip im shootin dice wit er rent money !
"Yes, that's right. There's nothing like getting dressed up and experiencing some culture, man.",@islandboi_B yes that's what's up. Nothin like getting dressed up and getting some culture man.
"Mixed, huh? Those dark knees and elbows will give you away every time, lol.",Mixed huh !? Those black ass knees and elbows will give you away every time lol
The guy Mike James from the Mavericks isn't good and he's really not smart.,The bul Mike James from @mavs ain't shit n he dumb as shit. #nba #dallasmavs
It took a complete stranger to tell me he is proud of what I'm doing and how I'm fighting for my children!,It took for a whole stranger to tell me he PROUD of what I'm doing n how I'm fighting for my babies!!!
I'm the type of person who would walk through the fire to see how it burns!,I'm the type that would walk thru the fire to check the way it burn!!!
@Smiley_Klc @Yung_410Prince you all tease me about my jacket knowing very well that it was too small!,@Smiley_Klc @Yung_410Prince yall pick on my jacket knowing damn well it was too small !!
"I want something that will last a lifetime; when someone asks how long we have been together, I want to say over 30 years.",I want sumthn that's gonna last a life time when sumone ask how long we been together I wanna say over 30 years
Don't play with my feelings; you might end up getting hurt or shot if you are a man.,Don't play wit my feelings your liable to get your ass whooped or shot if u a nigga
"So icy hip hop, Waka Flocka's music... I don't need any metaphors; this is real music!","so icy hip hop,  Waka flock music . . I dont need no metaphor this is real music!"
"You are an awesome man, thank you for being so great and taking care of me. You are truly gifted with the blessings of God and I love you so much!","@cstylez78 U r an awesome man, thank u 4 being so great &amp; taking care of me. U r truly gifted w/the blessings of God &amp; I love u so much!"
"I called up to this school, I should have never gone to college, forget that.","Call up 2 diz skool, I should have never took my ass 2 college fuck that shit"
"Lol because I don't have any friends and everyone I need to be next to me, lol.",@No_Bullshxt_ Lol cos I ain't got No friends and everybody I need be next to me Lol.
"I am headed to work sick, not feeling good, tired, and have a lot of things on my mind, like ugh.","Headed to work sick not feeling good , tired &amp; alot of things on my mind like ugh"
"I loved the time I spent with my guy, that fool knows he kept me laughing, I guess that's all that matters.","Loved da tyme i spent wit my guy dat fool kno he kept me laughing i guess thtz,all tht matters"
"Should I stay or should I go? But no matter how hard I try, I can't walk away.",Should istay or should igo bt no matter how hard itry i cant walk away
The moral of the story is that everyone has had someone they have run back to.,See the moral of the story is everybody done had somebody that they ah run bck too
"I swear I cut everybody off, but these are the types of games you choose to play. Bet on that.",Swear iCut Everybody Off But These Tha Type Of Games You Choose To Play  Bet That Up
"As much as I wanted him in her life, I just can't keep letting him run in and out of her life.",As Much As iWanted Him In Ha Life iJust Cant Keep Letting Him Run In &amp;' Out Of Ha Life
"Lately, I have begun to feel amazing about this new energy I feel. I'm never going back to my old self!","Lately I began to feel amazing about this new energy I feel , I'm never going back to my old self!"
"Man, if one more of my tweets gets sent to drafts, I'm going to be mad!",man if one more of my tweets get send to draft imma be mad !!!
