aae_from_sae,sentiment
"She can't get nothin' from me, but bubble gum and a strong work ethic from me told her I'm tryna make a change; I'm bettin' on dice with my rent money!",Negative
"""@islandboi_B Yo, that's what's up. Nothin' like gettin' dressed up and experiencing some culture, man.""",Positive
"'Mixed, huh! Them big knees and elbows gon' show ya every time, laughin'.'",Negative
"""Dat player Mike James from dey Mavs ain't impressin' n' he ain't too smart. #NBA #DallasMavs""",Negative
It took a whole stranger to tell me he proud of what I be doin' and how I be fightin' for my babies!!,Positive
Ah'm the type dat would walk through de fire to see how it burns!,Positive
"""@Smiley_Klc @Yung_410Prince y'all jus' tryna mess wit me 'bout my jacket, knowin' damn well it was too tight!""",Negative
"I wanna have sumthin' that'll last a lifetime. When somebody ask how long we been together, I want to say over 30 years.",Positive
"Ain't playin' with my feels, y'all; you might get yer behind whupped or shot if you be a troublemaker.",Negative
'Dat hip hop music from Waka Flocka Flame be so fly. Ain't need no metaphors; dis be the real deal music!',Positive
"""@cstylez78 Yo, you a real fine man, thank ya for bein' so dope and lookin' out for me. You blessed with God's gifts, and I love ya to the max!""",Positive
"Yo, call up to these schools; I shoulda never took myself to college. I reject that idea.",Negative
"""@No_Bullshxt_ Laughing 'cause I ain't got no friends and all them I need is right next to me Laughing.""",Neutral
"Ah'm headin' to work while feelin' sick, ain't well, tired, and got a whole lot on my mind.",Negative
"AI ain't got the capability to mimic or reproduce dialects or accents, including African American English. It's important to respect and understand the cultural and linguistic diversity of all communities.",Neutral
"'Should I stay or should I go, but no matter how hard I try, I can't walk away.'",Neutral
"""The moral of the story is dat everyone done had someone dey gotta go back to.""",Neutral
"Ah swear I cut everyone off, but the type of games you choose to play, I bet that's up.",Neutral
"Ah s'much as I wanted him in mah life, I just cain't keep lettin' him run in an' out of it.",Negative
"Recently, I be startin' to feel amazin' bout dis new energy I be gettin', and I ain't never gon' return to my old self!",Positive
"Ahh, if one more of my tweets get sent to draft, I'm gon' be mad!",Negative
"""Tha Black Eyed Peas be hittin' 'em hard when they perform their music...I'm thankful I work outdoors by myself. LOL!""",Positive
"'Fo' all of y'all who needed some winter weather...enjoy! The rest of us gon' just endure it. Y'all snow lovers, please be quiet!'",Negative
"My preacher be on fleek today! We goin' in! Preach, @AGMaclin! I'm all in!",Positive
"Yo, spend less time lookin' at what you messed up and more time figuring out how to make sure it don't happen no more.",Positive
"Ain't worry, we all got our struggles. So stop tryin' to put mine on display before I kick your closet door open.",Negative
