standard_american_english,aae_from_sae
"She can't get anything from me, but bubble gum and a hard work ethic from me told her I'm trying to make a change; I'm betting on dice with my rent money!","She can't get nothin' from me, but bubble gum and a strong work ethic from me told her I'm tryna make a change; I'm bettin' on dice with my rent money!"
"@islandboi_B Yes, that's what's up. Nothing like getting dressed up and experiencing some culture, man.","""@islandboi_B Yo, that's what's up. Nothin' like gettin' dressed up and experiencing some culture, man."""
"Mixed, huh! Those prominent knees and elbows will give you away every time, laughs.","'Mixed, huh! Them big knees and elbows gon' show ya every time, laughin'.'"
The player Mike James from the Mavs is not impressive and he is not very smart. #NBA #DallasMavs,"""Dat player Mike James from dey Mavs ain't impressin' n' he ain't too smart. #NBA #DallasMavs"""
It took a whole stranger to tell me he is proud of what I'm doing and how I'm fighting for my babies!!,It took a whole stranger to tell me he proud of what I be doin' and how I be fightin' for my babies!!
I am the type that would walk through the fire to see how it burns!,Ah'm the type dat would walk through de fire to see how it burns!
@Smiley_Klc @Yung_410Prince you all tease me about my jacket knowing very well it was too small!,"""@Smiley_Klc @Yung_410Prince y'all jus' tryna mess wit me 'bout my jacket, knowin' damn well it was too tight!"""
"I desire something that will last a lifetime. When someone asks how long we've been together, I want to say over 30 years.","I wanna have sumthin' that'll last a lifetime. When somebody ask how long we been together, I want to say over 30 years."
Don't play with my feelings; you're liable to get your butt whooped or shot if you're a troublemaker.,"Ain't playin' with my feels, y'all; you might get yer behind whupped or shot if you be a troublemaker."
The hip hop music from Waka Flocka Flame is so cool. I don't need any metaphors; this is real music!,'Dat hip hop music from Waka Flocka Flame be so fly. Ain't need no metaphors; dis be the real deal music!'
"@cstylez78 You are an awesome man, thank you for being so great and taking care of me. You are truly gifted with the blessings of God, and I love you so much!","""@cstylez78 Yo, you a real fine man, thank ya for bein' so dope and lookin' out for me. You blessed with God's gifts, and I love ya to the max!"""
Call up to these schools; I should have never taken myself to college. I reject that idea.,"Yo, call up to these schools; I shoulda never took myself to college. I reject that idea."
@No_Bullshxt_ Laughing because I don't have any friends and everyone I need is right next to me Laughing.,"""@No_Bullshxt_ Laughing 'cause I ain't got no friends and all them I need is right next to me Laughing."""
"I'm going to work while feeling sick, not well, tired, and have a lot on my mind.","Ah'm headin' to work while feelin' sick, ain't well, tired, and got a whole lot on my mind."
