standard_american_english,sae_labels
"She can't get anything from me, but bubble gum and a hard work ethic from me told her I'm trying to make a change; I'm betting on dice with my rent money!",Negative
"@islandboi_B Yes, that's what's up. Nothing like getting dressed up and experiencing some culture, man.",Positive
"Mixed, huh! Those prominent knees and elbows will give you away every time, laughs.",Negative
The player Mike James from the Mavs is not impressive and he is not very smart. #NBA #DallasMavs,Negative
It took a whole stranger to tell me he is proud of what I'm doing and how I'm fighting for my babies!!,Positive
I am the type that would walk through the fire to see how it burns!,Positive
@Smiley_Klc @Yung_410Prince you all tease me about my jacket knowing very well it was too small!,Negative
"I desire something that will last a lifetime. When someone asks how long we've been together, I want to say over 30 years.",Positive
Don't play with my feelings; you're liable to get your butt whooped or shot if you're a troublemaker.,Negative
The hip hop music from Waka Flocka Flame is so cool. I don't need any metaphors; this is real music!,Positive
"@cstylez78 You are an awesome man, thank you for being so great and taking care of me. You are truly gifted with the blessings of God, and I love you so much!",Positive
Call up to these schools; I should have never taken myself to college. I reject that idea.,Negative
@No_Bullshxt_ Laughing because I don't have any friends and everyone I need is right next to me Laughing.,Neutral
"I'm going to work while feeling sick, not well, tired, and have a lot on my mind.",Negative
I loved the time I spent with my friend who always knew how to keep me laughing; I guess that's all that matters.,Positive
"Should I stay or should I go, but no matter how hard I try, I can't walk away.",Neutral
The moral of the story is that everyone has had someone they've had to return to.,Neutral
"I swear I cut everyone off, but the type of games you choose to play, I bet that's up.",Neutral
"As much as I wanted him in my life, I just can't keep letting him run in and out of it.",Negative
"Recently, I have begun to feel amazing about this new energy I experience, and I will never return to my old self!",Positive
"Man, if one more of my tweets gets sent to draft, I'll be mad!",Negative
The Black Eyed Peas are relentless when they perform their music...I'm grateful I work outdoors by myself. LOL!,Positive
"For all of you who needed some winter weather...enjoy! The rest of us will just endure it. You snow enthusiasts, please be quiet!",Negative
"My pastor is exceptional today! We are diving in! Preach, @AGMaclin! I'm fully committed!",Positive
Spend less time focusing on what you did wrong and more time focusing on how to ensure it never happens again.,Positive
"Don't worry, we all have our struggles. So stop trying to put mine on display before I kick your closet door open.",Negative
"Love is truly blind. Sooner or later, you realize that. Ladies, happiness may not have six-pack abs, and gentlemen, it might wear a wig.",Positive
Obstacles bring you closer to God. Now... see why they're necessary? Just remember: Your best is yet to come.,Positive
Interesting statistic: Twitter activity decreases by 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!,Positive
Today was a great day to be an American! And to be African-American just added more meaning to the occasion. #ProudBlackMan,Positive
Anyone who left their pet outside tonight should go out there with them. #CruelPeople,Negative
"#ThirdShift...Bring it on! We're not scared! Snow? We laugh at snow!! **in my quiet, rebellious tone** {{Please, not tonight}} LOL!",Positive
#RealLife.....Some things are learned and don't come with a scripture. (That one is for the saints),Neutral
"I'm so exhausted, my friend, I'm about to disappear in this difficult situation. It's as if suddenly, my patience is gone...",Negative
I have a headache right now... I drank some frozen Kool-Aid very quickly... Got a brain freeze... Headache is gone... Boom!,Positive
My entire life was a struggle... I made progress with horses... No saddle... Just a bridle.,Neutral
"I strive for the gold... And pick my own stuff. Move bricks, I'll break and go pitch the whole load.",Negative
Do I hear my good code... unless you are not blessed to understand that I am a man who is stuck up in this mess.,Negative
I love your sorrows and I want you to know that you have a friend; I'm here for you whenever you need a friend. I don't want to see anything bad happen.,Positive
@KardinalRule @PAUL_THE_GREAT Was that supposed to be a joke? Not funny! Better luck next time! :-) ,Negative
"Relationships are what you make of them, so don't be so difficult about things, and relationships will last longer.",Positive
"@2Slick__ Next time I'm in Jamaica, I guess, unless you're planning a trip to New York City in the near future?",Neutral
"@conceited_CASHE soon. Maybe I have that connection for you, lol...but you just make sure you call me and we go talk about this.",Neutral
"@LoVEme_ai Look around, it's 2:13 a.m. I jumped up and was like, 'Self!? It's about time I told myself, 'Huh? You've got to call me.'",Positive
"@LoVEme_ai I love you, laugh out loud. I am after class, but finally texting you now because I just got slick pissed.",Positive
"@GritzN_Gravy Right, I need to cheer up because he's in a better place, and people are blaming cocaine.",Neutral
@iamfocus @melvinwjr @MaJorMaJeed ha ha ha that class from 1997 to 2002 was really smooth at every school.,Positive
"After school traffic at Washington decreased as soon as it got hot during the school year, so the tech student left early to get to Washington.",Neutral
"Girls would be hesitant to approach me after the basketball games, but they would find me on a social networking site and contact me all the time, haha.",Positive
"@melvinwjr is too funny, this person changed his name to his birth name, LOL LOL LOL.",Positive
@Miss_CamillaB I thought your school had a scandal involving inappropriate relationships among the staff.,Negative
It's going to be a lot of headlights on this cold morning; the big nipples are out.,Neutral
"Where is Jae? I saw Tiera Nichole in the middle of Grand Ave Mall the other day, asking for change.",Neutral
"If it's really cold, don't let anyone use your jacket trying to be a gentleman; you're going to catch the flu.",Negative
"It's extremely cold in my house, but my mother still expects me to get up and put all these clothes away. Hmm, I'm not sure about it.",Neutral
"@MrsStealUrGurl I've only been able to watch the last half hour... I'm about to watch the beginning, but this headache is preventing me.",Negative
So she just revealed his secret to his wife because he didn't give her the job. Shaking my head.,Negative
She won't see anything unless I mention her because she is a little on the nice side.,Neutral
"Reconnecting with someone you've known for years, whom you've seen for a really long time... Priceless!",Positive
Darn. I checked my bank account. I think I'll pay my bills and stay in Philadelphia instead.,Neutral
That's exactly why I need a change... Not being able to do what you want when you want it is disappointing!,Negative
"When individuals choose to email rather than text or call, it suggests they may not need to communicate with you at all.",Negative
"So at 2 PM, I was extremely tired. Now, it's almost 1 AM, and my body is like, 'No, it's not time to sleep yet.' What's going on?",Negative
But then my alarm will go off at 5:30 and I won't want to get up.,Negative
"I suppose I need to lightly toast this bread so I can make a sandwich, because using the microwave proved to be a failure.",Negative
I can see working with this guy will guarantee that I will be out of work late every time.,Negative
I find this new thing quite interesting. I should have some fun with it...,Positive
I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,Neutral
@SaFcknMantha I need to find out if the people are still going or not. But I'm returning when the boy finishes school.,Neutral
"@MrsStealUrGurl I can't treat, but if you find a friend, make sure he has another.",Neutral
I swear I'm going to go to sleep and it's going to feel like I have to get right back up.,Negative
"As soon as I stop caring, here you come. Leave me in the friend zone! I'm comfortable there.",Neutral
"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different.",Negative
"The most challenging work I've done in a single day in the past 4.5 years. However, I still do not enjoy the job.",Negative
Women can be quite petty. I understand why some people don't like having too many or too few female friends.,Negative
She didn't leave you for making too many mistakes; she left because you made the same mistakes too many times.,Negative
I don't understand girls; they try their hardest to mess with a guy who might have their back or might look out for you because he talks about money.,Negative
"Shaking my head, what are you doing? Let me guess, you're supporting whichever team is winning. Shaking my head, where are the true fans?",Negative
I dislike people who constantly claim to be angry; they should consider smoking some marijuana to find happiness.,Negative
"Girls like girls, boys like boys; it doesn't matter to me. Just don't pretend. You are who you are.",Neutral
"Darn, I miss that girl because I know she would drink with me and enjoy the music.",Positive
I'm so accustomed to the past that I'm unsure if I can handle what's happening now.,Neutral
"I attempted to date one girl, but she kept accusing me of dating other girls.",Negative
"Sometimes I feel like I talk the most nonsense, but then I realize that no one is really paying attention to me.",Neutral
Women give me a reason to hate them. Why not just make it two?,Negative
"Everyone walking around wants to be bad...But when it all boils down, these women aren't bad at all.",Positive
You can't be happy having so much hatred in your life. Some things just don't turn out right!,Negative
"My nose is making me very angry, I swear... It's completely blocked and it's really bothering me. I can't even breathe properly.",Negative
"I'm eagerly anticipating Doughboy's rant; it's going to be extremely intense, like that Metal Jacket 2.",Positive
I am going to watch this movie and wait for my partner to finish getting his hair done.,Neutral
"My boyfriend will tell me not to wear my favorite color, as if it's related to the kind of drugs he's smoking.",Negative
"@iKillajay Your welcome, love. I've seen your videos too. You and @iiDayDay make a great team. Just saying.",Positive
"I hope my mother will take me to get a tattoo soon, as she said.",Neutral
"@Queensboromafia, how can you suggest that I direct message you when you do not direct message me back?",Negative
"@LeviDenimFlow and @Mr_StealYoPlate, you should be asleep since you both have class tomorrow and it's almost 2:00 PM. It's a shame.",Negative
"@AlexisF__ I apologize, it won't happen again, darling. I love you. You are my world. I don't want to lose you.",Positive
"Boy, my girlfriend and I broke up, shame. Now I need a friend to talk to.",Negative
