standard_american_english,african_american_english
"She can't get anything from me, but bubble gum and a hard work ethic from me told her I'm trying to make a change; I'm betting on dice with my rent money!",Bitch cant get shit from me but bubble gum nd hard dick from me told da bitch im tryna make a flip im shootin dice wit er rent money !
"@islandboi_B Yes, that's what's up. Nothing like getting dressed up and experiencing some culture, man.",@islandboi_B yes that's what's up. Nothin like getting dressed up and getting some culture man.
"Mixed, huh! Those prominent knees and elbows will give you away every time, laughs.",Mixed huh !? Those black ass knees and elbows will give you away every time lol
The player Mike James from the Mavs is not impressive and he is not very smart. #NBA #DallasMavs,The bul Mike James from @mavs ain't shit n he dumb as shit. #nba #dallasmavs
It took a whole stranger to tell me he is proud of what I'm doing and how I'm fighting for my babies!!,It took for a whole stranger to tell me he PROUD of what I'm doing n how I'm fighting for my babies!!!
I am the type that would walk through the fire to see how it burns!,I'm the type that would walk thru the fire to check the way it burn!!!
@Smiley_Klc @Yung_410Prince you all tease me about my jacket knowing very well it was too small!,@Smiley_Klc @Yung_410Prince yall pick on my jacket knowing damn well it was too small !!
"I desire something that will last a lifetime. When someone asks how long we've been together, I want to say over 30 years.",I want sumthn that's gonna last a life time when sumone ask how long we been together I wanna say over 30 years
Don't play with my feelings; you're liable to get your butt whooped or shot if you're a troublemaker.,Don't play wit my feelings your liable to get your ass whooped or shot if u a nigga
The hip hop music from Waka Flocka Flame is so cool. I don't need any metaphors; this is real music!,"so icy hip hop,  Waka flock music . . I dont need no metaphor this is real music!"
"@cstylez78 You are an awesome man, thank you for being so great and taking care of me. You are truly gifted with the blessings of God, and I love you so much!","@cstylez78 U r an awesome man, thank u 4 being so great &amp; taking care of me. U r truly gifted w/the blessings of God &amp; I love u so much!"
Call up to these schools; I should have never taken myself to college. I reject that idea.,"Call up 2 diz skool, I should have never took my ass 2 college fuck that shit"
@No_Bullshxt_ Laughing because I don't have any friends and everyone I need is right next to me Laughing.,@No_Bullshxt_ Lol cos I ain't got No friends and everybody I need be next to me Lol.
"I'm going to work while feeling sick, not well, tired, and have a lot on my mind.","Headed to work sick not feeling good , tired &amp; alot of things on my mind like ugh"
I loved the time I spent with my friend who always knew how to keep me laughing; I guess that's all that matters.,"Loved da tyme i spent wit my guy dat fool kno he kept me laughing i guess thtz,all tht matters"
"Should I stay or should I go, but no matter how hard I try, I can't walk away.",Should istay or should igo bt no matter how hard itry i cant walk away
The moral of the story is that everyone has had someone they've had to return to.,See the moral of the story is everybody done had somebody that they ah run bck too
"I swear I cut everyone off, but the type of games you choose to play, I bet that's up.",Swear iCut Everybody Off But These Tha Type Of Games You Choose To Play  Bet That Up
"As much as I wanted him in my life, I just can't keep letting him run in and out of it.",As Much As iWanted Him In Ha Life iJust Cant Keep Letting Him Run In &amp;' Out Of Ha Life
"Recently, I have begun to feel amazing about this new energy I experience, and I will never return to my old self!","Lately I began to feel amazing about this new energy I feel , I'm never going back to my old self!"
"Man, if one more of my tweets gets sent to draft, I'll be mad!",man if one more of my tweets get send to draft imma be mad !!!
The Black Eyed Peas are relentless when they perform their music...I'm grateful I work outdoors by myself. LOL!,Black Eyed Peas show NO MERCY when they do what they do...Thank God I work outside ALONE. LOL!
"For all of you who needed some winter weather...enjoy! The rest of us will just endure it. You snow enthusiasts, please be quiet!",For all of you that needed some WINTER WEATHER...ENJOY!  The rest of us will just ride it out. Yall SNOW people just SAT DOWN AND HUSH!!
"My pastor is exceptional today! We are diving in! Preach, @AGMaclin! I'm fully committed!",My Pastor is off the Chain Today!! We are plunging in!! Preach @AGMaclin!! I'M ALL IN!!
Spend less time focusing on what you did wrong and more time focusing on how to ensure it never happens again.,Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.
"Don't worry, we all have our struggles. So stop trying to put mine on display before I kick your closet door open.",Dont worry....we all have our struggles.  So stop trying to put mine on Display before I kick your closet door open.
"Love is truly blind. Sooner or later, you realize that. Ladies, happiness may not have six-pack abs, and gentlemen, it might wear a wig.",Love is truly blind....Sooner or later U figure that out. Ladies... Happiness might not have  six pack abs and Fellas..it might wear a wig.
Obstacles bring you closer to God. Now... see why they're necessary? Just remember: Your best is yet to come.,Obstacles bring you closer to God. Now....see why they're necessary?? JUST REMEMBER: Your Best Is Yet To Come.
Interesting statistic: Twitter activity decreases by 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!,Funny Statistic....Twitter activity is down 40% on Legal Holidays when Gov offices are shut down..WOW! Says alot about what yall do all day!
Today was a great day to be an American! And to be African-American just added more meaning to the occasion. #ProudBlackMan,Today was a Great Day to be an American! And to be African-American just added more meaning to the occasions. #ProudBlackMan
Anyone who left their pet outside tonight should go out there with them. #CruelPeople,Anyone that left their animal outside tonight should be made to go out there with them. #CruelPeople
"#ThirdShift...Bring it on! We're not scared! Snow? We laugh at snow!! **in my quiet, rebellious tone** {{Please, not tonight}} LOL!",#ThirdShift....Bring it on! We ain't Scurd! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!
#RealLife.....Some things are learned and don't come with a scripture. (That one is for the saints),#RealLife.....Somethings are learned and don't come with a scripture. ((That one is for the Saints))
"I'm so exhausted, my friend, I'm about to disappear in this difficult situation. It's as if suddenly, my patience is gone...",Im so faded my nigga im bout to disappear in this bitch.. Like poof! Der go my roof... Pow! Der go my hamma
I have a headache right now... I drank some frozen Kool-Aid very quickly... Got a brain freeze... Headache is gone... Boom!,I got a headache rite... I drunk some frozen koolaid real fast rite... Got brainfreeze.... Headache gone.... Boom!
My entire life was a struggle... I made progress with horses... No saddle... Just a bridle.,My whole life was a battle..... I made moves wit horses.. No saddle... Jus raddle
"I strive for the gold... And pick my own stuff. Move bricks, I'll break and go pitch the whole load.",I strive for da gold...  And pic my own shit. Move bricks ill break and go pitch da whole load
Do I hear my good code... unless you are not blessed to understand that I am a man who is stuck up in this mess.,Do I herr my g code..... .. Unless u not blessd to undastand ima man dat got stuck up in dis mess..
I love your sorrows and I want you to know that you have a friend; I'm here for you whenever you need a friend. I don't want to see anything bad happen.,I love yhu sorya &amp; I want yhu to know yhu do got a friend&amp; im here for yhu nmw on some friend type shit I dont wany to see nothing happend
@KardinalRule @PAUL_THE_GREAT Was that supposed to be a joke? Not funny! Better luck next time! :-) ,"@KardinalRule @PAUL_THE_GREAT  Was that suppose to be a joke, NOT FUNNY! Better luck next time :-)"
"Relationships are what you make of them, so don't be so difficult about things, and relationships will last longer.",Relationships r wut u make it so dont be such a bitch about thing and relationships will last longer.
"@2Slick__ Next time I'm in Jamaica, I guess, unless you're planning a trip to New York City in the near future?",@2Slick__ next time I'm in JA I guess unless you're planning a trip to NYC in the near future?!
"@conceited_CASHE soon. Maybe I have that connection for you, lol...but you just make sure you call me and we go talk about this.",@conceited_CASHE soon.! Mite hav that hook up for yo ass lol...bt yu jus make sure yu call me n we go talk about this .
