aae_text,sentiment
Bitch cant get shit from me but bubble gum nd hard dick from me told da bitch im tryna make a flip im shootin dice wit er rent money !,negative
@islandboi_B yes that's what's up. Nothin like getting dressed up and getting some culture man.,positive
Mixed huh !? Those black ass knees and elbows will give you away every time lol,negative
"""@larrympaige @zionsays #FIGHT. People ask what do you want to be when you grow up? let's ask what did God call you to be?""",neutral
The bul Mike James from @mavs ain't shit n he dumb as shit. #nba #dallasmavs,negative
It took for a whole stranger to tell me he PROUD of what I'm doing n how I'm fighting for my babies!!!,positive
I'm the type that would walk thru the fire to check the way it burn!!!,neutral
@Smiley_Klc @Yung_410Prince yall pick on my jacket knowing damn well it was too small !!,negative
I want sumthn that's gonna last a life time when sumone ask how long we been together I wanna say over 30 years,positive
Don't play wit my feelings your liable to get your ass whooped or shot if u a nigga,negative
"""@TheyLoveQuan: Except for track & school, I don't do shit with my life. Loser :P""",neutral
"""hell yeah just got that sane text lmao @JuugMan_TheShit: Phone bill due in 3 days, DAMN!""",positive
whooping bitch?  I miss yall lol @PrettyBlalock: People In My 6 Period Ugh <<<<<< Stfu Dumb Bitch!,negative
"""so icy hip hop,  Waka flock music . . I dont need no metaphor this is real music!""",positive
"""@cstylez78 U r an awesome man, thank u 4 being so great & taking care of me. U r truly gifted w/the blessings of God & I love u so much!""",positive
"""Call up 2 diz skool, I should have never took my ass 2 college fuck that shit""",negative
@No_Bullshxt_ Lol cos I ain't got No friends and everybody I need be next to me Lol.,neutral
"""Headed to work sick not feeling good , tired & alot of things on my mind like ugh""",negative
"""Loved da tyme i spent wit my guy dat fool kno he kept me laughing i guess thtz,all tht matters""",positive
Should istay or should igo bt no matter how hard itry i cant walk away,negative
See the moral of the story is everybody done had somebody that they ah run bck too,neutral
Swear iCut Everybody Off But These Tha Type Of Games You Choose To Play  Bet That Up,negative
As Much As iWanted Him In Ha Life iJust Cant Keep Letting Him Run In &' Out Of Ha Life,negative
"""Lately I began to feel amazing about this new energy I feel , I'm never going back to my old self!""",positive
man if one more of my tweets get send to draft imma be mad !!!,negative
Black Eyed Peas show NO MERCY when they do what they do...Thank God I work outside ALONE. LOL!,positive
For all of you that needed some WINTER WEATHER...ENJOY!  The rest of us will just ride it out. Yall SNOW people just SAT DOWN AND HUSH!!,neutral
My Pastor is off the Chain Today!! We are plunging in!! Preach @AGMaclin!! I'M ALL IN!!,positive
Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.,positive
Dont worry....we all have our struggles.  So stop trying to put mine on Display before I kick your closet door open.,negative
Love is truly blind....Sooner or later U figure that out. Ladies... Happiness might not have  six pack abs and Fellas..it might wear a wig.,neutral
Obstacles bring you closer to God. Now....see why they're necessary?? JUST REMEMBER: Your Best Is Yet To Come.,positive
Funny Statistic....Twitter activity is down 40% on Legal Holidays when Gov offices are shut down..WOW! Says alot about what yall do all day!,negative
Today was a Great Day to be an American! And to be African-American just added more meaning to the occasions. #ProudBlackMan,positive
Anyone that left their animal outside tonight should be made to go out there with them. #CruelPeople,negative
#ThirdShift....Bring it on! We ain't Scurd! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!,positive
#RealLife.....Somethings are learned and don't come with a scripture. ((That one is for the Saints)),neutral
Im so faded my nigga im bout to disappear in this bitch.. Like poof! Der go my roof... Pow! Der go my hamma,negative
I got a headache rite... I drunk some frozen koolaid real fast rite... Got brainfreeze.... Headache gone.... Boom!,positive
My whole life was a battle..... I made moves wit horses.. No saddle... Jus raddle,neutral
I strive for da gold...  And pic my own shit. Move bricks ill break and go pitch da whole load,neutral
Do I herr my g code..... .. Unless u not blessd to undastand ima man dat got stuck up in dis mess..,neutral
I love yhu sorya & I want yhu to know yhu do got a friend& im here for yhu nmw on some friend type shit I dont wany to see nothing happend,positive
"""@KardinalRule @PAUL_THE_GREAT  Was that suppose to be a joke, NOT FUNNY! Better luck next time :-)""",negative
Relationships r wut u make it so dont be such a bitch about thing and relationships will last longer.,negative
@2Slick__ next time I'm in JA I guess unless you're planning a trip to NYC in the near future?!,positive
@conceited_CASHE soon.! Mite hav that hook up for yo ass lol...bt yu jus make sure yu call me n we go talk about this .,neutral
@LoVEme_ai look around 2:13 a.m Myself jumped up and was like self!? Itold myself huh? Myself sed.bitch yu 4gt to call ai.! myself sed damn!,neutral
@LoVEme_ai I love yu lol i am after class..bt fina txt yu now cus I jus gt slick pissed.  .,positive
@GritzN_Gravy right I need to cheer up because he's in a better place and people blaming honey cocaine,negative
@iamfocus @melvinwjr @MaJorMaJeed ha ha ha pretty much that 97-2002 class was real smooth from every school,positive
after school traffic at washington went down also soon as it got hot in the school year nigga left tech early to get to washington,neutral
chicks would be scared to holla after the basketball games but would find a niga on blackplanet and get at me all the time lol lol,neutral
@melvinwjr is too funny this nigga changed his name to his bp name lol lol lol,neutral
@iamfocus yall sure did and we had a couple also i wanna thank the locker room at jackie robinson for letting me get head and fingerin game,neutral
@Miss_CamillaB i thought yall school had a sex scandal from all those nuns being in the same place with no penis around,negative
its gonna be alot of headlights on this cold am the big nipples are out,neutral
"""You don't mess with the Juice!n I gave you silk suits, blue diamonds and gucci handbags.n I gave you things you couldn't even pronounce!""",negative
wheres is the jayer @Tiera_Nichole at with her goofy ass i saw her begging for change in the middle of the grand ave mall the other day ha,negative
Word of advice if its real cold dont let nobody use ya jacket trynna b a gentlemen you gon get the flu,negative
"""It's freezing cold in my house but my mom still expects me to get up and put all these clothes away , hmm idk about it""",negative
@MrsStealUrGurl only the last half hour.. Bout to watch the beginning. But this headache is stopping me.,negative
So she just outed him to his wife cause he didn't give her the job. Smh.,negative
She ain't gonna see anything unless I @ her cause she is a lil on the nice side.,neutral
Reconnecting with someone you've know for years that you have seen for a really long time... Priceless!,positive
Damn. Checks bank account. I think I'll pay my bills and stay my ass in Philly instead.,negative
Exactly why I need a change... Not being able to do what you want when you want it sucks!,negative
When people email you instead of texting or calling that means they shouldn't be talking to you in the first place.,negative
So at 2PM I was super tired. Now at almost 1AM my body is like naw it aint time to sleep yet. Wtf??,negative
But then my alarm is gonna go off at 5:30 and I'm not gonna wanna get up,negative
I guess I need to lightly toast this bread so I can make a sandwich. Cause using the microwave proved to be a failure,neutral
I can see working with dude will guarantee me out of work late every time.,negative
Finding this new thing to be quite interesting. I should have some fun with this...,positive
Can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,neutral
@SaFcknMantha gotta find out if the folks still going down or not. But I'm going back when the boy gets outta school.,neutral
@MrsStealUrGurl I can't treat but if you find a friend makes sure he has another.,neutral
I swear I'm gonna go to sleep and its gonna feel like I gotta get right back up.,negative
As soon as I stop caring... Here you come.. Leave me in my friend zone! I'm cool there.,negative
Last Tuesday I forgot my meds at home. This Tuesday will probably be no different.,negative
"""If I ever say I think I'm from southwest please proceed to smack the sh*t outta me!""",negative
"""Somebody ask me where you from.. My first answer is Philly. They wanna know where in Philly and Imma tell em. But if I say I think.....""",neutral
Hardest I've ever worked In one day in 4.5 years. I still don't like the job tho.,negative
Females are the pettiest people.. I see why mfs don't like havin none or too many as friends..,negative
She didn't leave you for making too many mistakes she left because you made the same mistakes too many times..,negative
Lol dumb ass  if I say half the girls I fucked or saw naked I fuck yo life up,negative
I don't get girls they try there hardest to fuck with a nigga who might have there back or might look out for you cause he talk that cash,negative
Smh what are you gone dick suck let me guess whatever team that's winning Smh where are the true fans,negative
I hate people that just swear they be mad all the time bitch smoke some weed and be happy,neutral
Girls like girls boys like boys it don't matter to me just don't fake it you are who you are,positive
Damn that way I miss girl cuz I know she would drink with and blow that loud.,neutral
I'm so use to the past I don't know if I can take what's happening now,negative
I try fuck with one girl but she keep swearing u fuck with other girls,negative
Sometimes ii Feel ii talk Da Most Shit..Bt Den ii B Like..Who Da Fukk Gone Check Me..??,negative
Bitches give Dey self a reason too hate Me..Hell Y not jus Make it 2.!,negative
Everybody walking around wanna B Bad...But wen it Aww Boils Down Dese Bitches ain't Bad after aww.!,negative
You Can't B happy having So Much hatred in Yo life#Some Shit ain't gone turn out right.!,negative
Mii nose Making Me Mad af I swear..It's aww Stopped up in Shit..Fucking With me..A nigga Can't Fuckin Breath fr,negative
