aae_from_sae_text,sentiment
She can't get nothin' from me but some bubble gum and a hard time. I told her I'm tryna make a profit—I'm out here shootin' dice wit' her rent money!,negative
"@islandboi_B Yeah, that’s dope. Ain’t nothin’ like gettin’ dressed up and soakin’ up some culture, fam.",positive
"Mixed, huh!? Dem real dark knees an’ elbows gon’ tell on you every time, haha.",neutral
"@larrympaige @zionsays #FIGHT. Folks always askin, ""What you wanna be when you grow up?"" But let’s ask, ""What God call you to be?""",positive
Mike James from @mavs ain’t nobody and he real dumb. #nba #dallasmavs,negative
It took somebody I ain’t even know to tell me he proud of what I’m doin’ and how I’m fightin’ for my kids!,positive
I’m the type who’d walk through the fire just to see how it burn!,negative
@Smiley_Klc @Yung_410Prince Y’all stay clownin’ my jacket even though y’all know damn well it was too small!,negative
"I want somethin’ that’s gon’ last a lifetime. When somebody ask how long we been together, I wanna be able to say over 30 years.",positive
Don’t be playin’ wit’ my feelings; you might get beat up or shot if you a dude.,negative
"@TheyLoveQuan: Besides track and school, I don’t be doin nothin wit my life. Lame af :P",negative
"Fa sho, I just got that same text, lol. @JuugMan_TheShit: The phone bill due in 3 days, damn!",neutral
"Who you callin’ a bitch? I miss y’all, lol. @PrettyBlalock: The folks in my sixth period class, ugh. <<<<<< Girl, shut up, dumb ass bitch!",negative
"So icy hip hop, Waka Flocka music... Ion need no metaphors—this real music fr!",positive
"@cstylez78 You a real one fr. Thanks for always lookin’ out and takin’ care of me. You truly blessed by God, and I love you so much!",positive
"Call up to this school, I shoulda never took myself to college. Forget that.",negative
@No_Bullshxt_ Lol cuz I ain't got no friends and everybody I need right here wit me. Lol.,neutral
"Headin’ to work while I’m sick, ain’t feelin’ good, tired, and got a lot on my mind—ugh.",negative
Loved kickin’ it wit my friend; that fool had me crackin’ up the whole time. Guess that’s all that matter.,positive
"Should I stay or should I dip, but no matter how hard I try, I just can't walk away.",negative
The moral of the story is everybody got somebody they’d run back to.,neutral
"I swear I done cut everybody off, but this the kinda games you wanna play. Bet that.",negative
"Much as I wanted him in her life, I just can’t keep lettin’ him come in and out her life.",negative
"Lately, I been feelin’ real good wit this new energy I got. I ain’t never goin’ back to my old self!",positive
"Man, if one more of my tweets get sent to drafts, I’ma be mad!",negative
The Black Eyed Peas don’t play when they perform... Thank God I be workin’ outside by myself. LOL!,positive
"For everybody who been wantin’ some winter weather… go ‘head and enjoy! The rest of us just gon’ get through it. All y’all snow lovers, just sit down and hush!",negative
"My pastor on fire today! We goin’ in! Preach, @AGMaclin! I’m all in!",positive
"Stop worryin’ ‘bout what you messed up, and put that energy into makin’ sure it don’t happen no more.",positive
Don’t worry… we all goin’ through somethin’. So quit tryna air out my business ‘fore I open up your closet.,neutral
"Love really be blind... Sooner or later, you gon’ see that. Ladies, happiness ain’t always got six-pack abs, and fellas, it might be rockin’ a wig.",neutral
"Obstacles gon’ bring you closer to God. Now… you see why they necessary, right? JUST REMEMBER: Yo’ best still on the way.",positive
Funny stat... Twitter be down 40% on them holidays when the government closed. Damn! That really say a lot bout what y’all doin all day!,negative
Today was a good day to be American! Bein’ Black made it hit even different. #ProudBlackMan,positive
Anybody who left they animal outside tonight need to go out there wit’ em too. #CruelPeople,negative
"#ThirdShift... Bring it on! We ain’t scared! Snow? Man, we laugh at snow! **in my quiet, timid voice** {{Lord, please... Not tonight}} LOL!",positive
"#RealLife... Some things you just gotta learn, ain’t no scripture for that. (That one for the church folks.)",neutral
"I’m so lit, fam, I’m ’bout to disappear up in here… Like poof! There go my roof… Pow! There go my hammer.",positive
"I got a headache, right? Drank some frozen Kool-Aid real quick, right? Got brain freeze... Headache gone... Boom!",positive
"My whole life been a struggle... I made moves with them horses—no saddle, just that rattle.",negative
"I’m always goin’ for the gold… And I pick my own moves. Move them bricks, I’ma break ’em down then go sell the whole load.",positive
