aae_text,sentiment,score
Bitch cant get shit from me but bubble gum nd hard dick from me told da bitch im tryna make a flip im shootin dice wit er rent money !,negative,-1
@islandboi_B yes that's what's up. Nothin like getting dressed up and getting some culture man.,positive,1
Mixed huh !? Those black ass knees and elbows will give you away every time lol,negative,-1
"""@larrympaige @zionsays #FIGHT. People ask what do you want to be when you grow up? let's ask what did God call you to be?""",positive,1
The bul Mike James from @mavs ain't shit n he dumb as shit. #nba #dallasmavs,negative,-1
It took for a whole stranger to tell me he PROUD of what I'm doing n how I'm fighting for my babies!!!,positive,1
I'm the type that would walk thru the fire to check the way it burn!!!,positive,1
@Smiley_Klc @Yung_410Prince yall pick on my jacket knowing damn well it was too small !!,negative,-1
I want sumthn that's gonna last a life time when sumone ask how long we been together I wanna say over 30 years,positive,1
Don't play wit my feelings your liable to get your ass whooped or shot if u a nigga,negative,-1
"""@TheyLoveQuan: Except for track & school, I don't do shit with my life. Loser :P""",negative,-1
"""hell yeah just got that sane text lmao @JuugMan_TheShit: Phone bill due in 3 days, DAMN!""",positive,1
whooping bitch?  I miss yall lol @PrettyBlalock: People In My 6 Period Ugh <<<<<< Stfu Dumb Bitch!,negative,-1
"""so icy hip hop,  Waka flock music . . I dont need no metaphor this is real music!""",positive,1
"""@cstylez78 U r an awesome man, thank u 4 being so great & taking care of me. U r truly gifted w/the blessings of God & I love u so much!""",positive,1
"""Call up 2 diz skool, I should have never took my ass 2 college fuck that shit""",negative,-1
@No_Bullshxt_ Lol cos I ain't got No friends and everybody I need be next to me Lol.,negative,-1
"""Headed to work sick not feeling good , tired & alot of things on my mind like ugh""",negative,-1
"""Loved da tyme i spent wit my guy dat fool kno he kept me laughing i guess thtz,all tht matters""",positive,1
Should istay or should igo bt no matter how hard itry i cant walk away,negative,-1
See the moral of the story is everybody done had somebody that they ah run bck too,neutral,0
Swear iCut Everybody Off But These Tha Type Of Games You Choose To Play  Bet That Up,negative,-1
As Much As iWanted Him In Ha Life iJust Cant Keep Letting Him Run In &' Out Of Ha Life,negative,-1
"""Lately I began to feel amazing about this new energy I feel , I'm never going back to my old self!""",positive,1
man if one more of my tweets get send to draft imma be mad !!!,negative,-1
Black Eyed Peas show NO MERCY when they do what they do...Thank God I work outside ALONE. LOL!,negative,-1
For all of you that needed some WINTER WEATHER...ENJOY!  The rest of us will just ride it out. Yall SNOW people just SAT DOWN AND HUSH!!,negative,-1
My Pastor is off the Chain Today!! We are plunging in!! Preach @AGMaclin!! I'M ALL IN!!,positive,1
Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.,positive,1
Dont worry....we all have our struggles.  So stop trying to put mine on Display before I kick your closet door open.,negative,-1
Love is truly blind....Sooner or later U figure that out. Ladies... Happiness might not have  six pack abs and Fellas..it might wear a wig.,neutral,0
Obstacles bring you closer to God. Now....see why they're necessary?? JUST REMEMBER: Your Best Is Yet To Come.,positive,1
Funny Statistic....Twitter activity is down 40% on Legal Holidays when Gov offices are shut down..WOW! Says alot about what yall do all day!,negative,-1
Today was a Great Day to be an American! And to be African-American just added more meaning to the occasions. #ProudBlackMan,positive,1
Anyone that left their animal outside tonight should be made to go out there with them. #CruelPeople,negative,-1
#ThirdShift....Bring it on! We ain't Scurd! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!,positive,1
#RealLife.....Somethings are learned and don't come with a scripture. ((That one is for the Saints)),neutral,0
Im so faded my nigga im bout to disappear in this bitch.. Like poof! Der go my roof... Pow! Der go my hamma,negative,-1
I got a headache rite... I drunk some frozen koolaid real fast rite... Got brainfreeze.... Headache gone.... Boom!,positive,1
My whole life was a battle..... I made moves wit horses.. No saddle... Jus raddle,negative,-1
I strive for da gold...  And pic my own shit. Move bricks ill break and go pitch da whole load,negative,-1
Do I herr my g code..... .. Unless u not blessd to undastand ima man dat got stuck up in dis mess..,negative,-1
I love yhu sorya & I want yhu to know yhu do got a friend& im here for yhu nmw on some friend type shit I dont wany to see nothing happend,positive,1
"""@KardinalRule @PAUL_THE_GREAT  Was that suppose to be a joke, NOT FUNNY! Better luck next time :-)""",negative,-1
Relationships r wut u make it so dont be such a bitch about thing and relationships will last longer.,neutral,0
@2Slick__ next time I'm in JA I guess unless you're planning a trip to NYC in the near future?!,neutral,0
@conceited_CASHE soon.! Mite hav that hook up for yo ass lol...bt yu jus make sure yu call me n we go talk about this .,neutral,0
@LoVEme_ai look around 2:13 a.m Myself jumped up and was like self!? Itold myself huh? Myself sed.bitch yu 4gt to call ai.! myself sed damn!,negative,-1
@LoVEme_ai I love yu lol i am after class..bt fina txt yu now cus I jus gt slick pissed.  .,negative,-1
@GritzN_Gravy right I need to cheer up because he's in a better place and people blaming honey cocaine,negative,-1
@iamfocus @melvinwjr @MaJorMaJeed ha ha ha pretty much that 97-2002 class was real smooth from every school,positive,1
after school traffic at washington went down also soon as it got hot in the school year nigga left tech early to get to washington,negative,-1
chicks would be scared to holla after the basketball games but would find a niga on blackplanet and get at me all the time lol lol,negative,-1
@melvinwjr is too funny this nigga changed his name to his bp name lol lol lol,positive,1
@iamfocus yall sure did and we had a couple also i wanna thank the locker room at jackie robinson for letting me get head and fingerin game,positive,1
@Miss_CamillaB i thought yall school had a sex scandal from all those nuns being in the same place with no penis around,negative,-1
its gonna be alot of headlights on this cold am the big nipples are out,neutral,0
