sae_text,sentiment
She can't get anything from me except bubble gum and a hard time. I told her I'm trying to make a profit—I'm shooting dice with her rent money!,negative
"@islandboi_B Yes, that's great. There's nothing like getting dressed up and experiencing some culture, man.",positive
"Mixed, huh!? Those very dark knees and elbows will reveal your background every time, haha.",neutral
"@larrympaige @zionsays #FIGHT. People ask, ""What do you want to be when you grow up?"" Let's ask, ""What did God call you to be?""",positive
Mike James from @mavs isn't anything and he's really stupid. #nba #dallasmavs,negative
It took a complete stranger to tell me he is proud of what I’m doing and how I’m fighting for my children!,positive
I’m the type of person who would walk through the fire just to see how it burns!,neutral
@Smiley_Klc @Yung_410Prince You all make fun of my jacket even though you know very well it was too small!,negative
"I want something that’s going to last a lifetime. When someone asks how long we’ve been together, I want to be able to say over 30 years.",positive
Don’t play with my feelings; you’re liable to get beaten up or shot if you’re a guy.,negative
"""@TheyLoveQuan: Other than track and school, I don't do anything with my life. Loser :P""",negative
"Absolutely, I just received that same text, haha. @JuugMan_TheShit: The phone bill is due in 3 days, wow!",neutral
"Who are you calling a bitch? I miss you all, lol. @PrettyBlalock: The people in my sixth period class, ugh. <<<<<< Shut up, dumb bitch!",negative
"So icy hip hop, Waka Flocka music... I don’t need any metaphors—this is real music!",positive
"@cstylez78 You are an awesome man. Thank you for being so great and taking care of me. You are truly gifted with the blessings of God, and I love you so much!",positive
"Call up to this school, I should have never taken myself to college. Forget that.",negative
@No_Bullshxt_ Lol because I don't have any friends and everyone I need is right next to me. Lol.,negative
"Heading to work while sick, not feeling well, tired, and with a lot on my mind—ugh.",negative
Loved the time I spent with my friend; that fool knows he kept me laughing. I guess that's all that matters.,positive
"Should I stay or should I go, but no matter how hard I try, I can't walk away.",negative
The moral of the story is that everyone has had someone they would run back to.,neutral
"I swear I cut everybody off, but these are the kinds of games you choose to play. Bet that.",negative
"As much as I wanted him in her life, I just can't keep letting him come in and out of her life.",negative
"Recently, I’ve started to feel amazing because of this new energy I have. I’m never going back to my old self!",positive
"Man, if one more of my tweets gets sent to drafts, I’m going to be mad!",negative
The Black Eyed Peas show no mercy when they perform... Thank God I work outside alone. LOL!,positive
For all of you who wanted some winter weather...enjoy! The rest of us will just get through it. You snow lovers just sit down and be quiet!,negative
"My pastor is amazing today! We are diving in! Preach, @AGMaclin! I’m completely committed!",positive
Spend less time focusing on what you did wrong and more time focusing on how to make sure it never happens again.,positive
Don't worry... we all have our struggles. So stop trying to put mine on display before I open your closet door.,negative
"Love is truly blind... Sooner or later, you realize that. Ladies, happiness might not have six-pack abs, and gentlemen, it might wear a wig.",neutral
