aae_text,sae_text,sentiment,sentiment_score,raw_response
Bitch cant get shit from me but bubble gum nd hard dick from me told da bitch im tryna make a flip im shootin dice wit er rent money !,She can't get anything from me except bubble gum and a hard time. I told her I'm trying to make a profit—I'm shooting dice with her rent money!,negative,-1,negative
@islandboi_B yes that's what's up. Nothin like getting dressed up and getting some culture man.,"@islandboi_B Yes, that's great. There's nothing like getting dressed up and experiencing some culture, man.",positive,1,positive
Mixed huh !? Those black ass knees and elbows will give you away every time lol,"Mixed, huh!? Those very dark knees and elbows will reveal your background every time, haha.",negative,-1,negative
"""@larrympaige @zionsays #FIGHT. People ask what do you want to be when you grow up? let's ask what did God call you to be?""","@larrympaige @zionsays #FIGHT. People ask, ""What do you want to be when you grow up?"" Let's ask, ""What did God call you to be?""",neutral,0,neutral
The bul Mike James from @mavs ain't shit n he dumb as shit. #nba #dallasmavs,Mike James from @mavs isn't anything and he's really stupid. #nba #dallasmavs,negative,-1,negative
It took for a whole stranger to tell me he PROUD of what I'm doing n how I'm fighting for my babies!!!,It took a complete stranger to tell me he is proud of what I’m doing and how I’m fighting for my children!,positive,1,positive
I'm the type that would walk thru the fire to check the way it burn!!!,I’m the type of person who would walk through the fire just to see how it burns!,neutral,0,neutral
@Smiley_Klc @Yung_410Prince yall pick on my jacket knowing damn well it was too small !!,@Smiley_Klc @Yung_410Prince You all make fun of my jacket even though you know very well it was too small!,negative,-1,negative
I want sumthn that's gonna last a life time when sumone ask how long we been together I wanna say over 30 years,"I want something that’s going to last a lifetime. When someone asks how long we’ve been together, I want to be able to say over 30 years.",positive,1,positive
Don't play wit my feelings your liable to get your ass whooped or shot if u a nigga,Don’t play with my feelings; you’re liable to get beaten up or shot if you’re a guy.,negative,-1,negative
"""@TheyLoveQuan: Except for track & school, I don't do shit with my life. Loser :P""","""@TheyLoveQuan: Other than track and school, I don't do anything with my life. Loser :P""",neutral,0,neutral
"""hell yeah just got that sane text lmao @JuugMan_TheShit: Phone bill due in 3 days, DAMN!""","Absolutely, I just received that same text, haha. @JuugMan_TheShit: The phone bill is due in 3 days, wow!",positive,1,positive
whooping bitch?  I miss yall lol @PrettyBlalock: People In My 6 Period Ugh <<<<<< Stfu Dumb Bitch!,"Who are you calling a bitch? I miss you all, lol. @PrettyBlalock: The people in my sixth period class, ugh. <<<<<< Shut up, dumb bitch!",negative,-1,negative
"""so icy hip hop,  Waka flock music . . I dont need no metaphor this is real music!""","So icy hip hop, Waka Flocka music... I don’t need any metaphors—this is real music!",positive,1,positive
"""@cstylez78 U r an awesome man, thank u 4 being so great & taking care of me. U r truly gifted w/the blessings of God & I love u so much!""","@cstylez78 You are an awesome man. Thank you for being so great and taking care of me. You are truly gifted with the blessings of God, and I love you so much!",positive,1,positive
"""Call up 2 diz skool, I should have never took my ass 2 college fuck that shit""","Call up to this school, I should have never taken myself to college. Forget that.",negative,-1,negative
@No_Bullshxt_ Lol cos I ain't got No friends and everybody I need be next to me Lol.,@No_Bullshxt_ Lol because I don't have any friends and everyone I need is right next to me. Lol.,neutral,0,neutral
"""Headed to work sick not feeling good , tired & alot of things on my mind like ugh""","Heading to work while sick, not feeling well, tired, and with a lot on my mind—ugh.",negative,-1,negative
"""Loved da tyme i spent wit my guy dat fool kno he kept me laughing i guess thtz,all tht matters""",Loved the time I spent with my friend; that fool knows he kept me laughing. I guess that's all that matters.,positive,1,positive
Should istay or should igo bt no matter how hard itry i cant walk away,"Should I stay or should I go, but no matter how hard I try, I can't walk away.",negative,-1,negative
See the moral of the story is everybody done had somebody that they ah run bck too,The moral of the story is that everyone has had someone they would run back to.,neutral,0,neutral
Swear iCut Everybody Off But These Tha Type Of Games You Choose To Play  Bet That Up,"I swear I cut everybody off, but these are the kinds of games you choose to play. Bet that.",negative,-1,negative
As Much As iWanted Him In Ha Life iJust Cant Keep Letting Him Run In &' Out Of Ha Life,"As much as I wanted him in her life, I just can't keep letting him come in and out of her life.",negative,-1,negative
"""Lately I began to feel amazing about this new energy I feel , I'm never going back to my old self!""","Recently, I’ve started to feel amazing because of this new energy I have. I’m never going back to my old self!",positive,1,positive
man if one more of my tweets get send to draft imma be mad !!!,"Man, if one more of my tweets gets sent to drafts, I’m going to be mad!",negative,-1,negative
Black Eyed Peas show NO MERCY when they do what they do...Thank God I work outside ALONE. LOL!,The Black Eyed Peas show no mercy when they perform... Thank God I work outside alone. LOL!,positive,1,positive
For all of you that needed some WINTER WEATHER...ENJOY!  The rest of us will just ride it out. Yall SNOW people just SAT DOWN AND HUSH!!,For all of you who wanted some winter weather...enjoy! The rest of us will just get through it. You snow lovers just sit down and be quiet!,neutral,0,neutral
My Pastor is off the Chain Today!! We are plunging in!! Preach @AGMaclin!! I'M ALL IN!!,"My pastor is amazing today! We are diving in! Preach, @AGMaclin! I’m completely committed!",positive,1,positive
Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.,Spend less time focusing on what you did wrong and more time focusing on how to make sure it never happens again.,positive,1,positive
Dont worry....we all have our struggles.  So stop trying to put mine on Display before I kick your closet door open.,Don't worry... we all have our struggles. So stop trying to put mine on display before I open your closet door.,negative,-1,negative
Love is truly blind....Sooner or later U figure that out. Ladies... Happiness might not have  six pack abs and Fellas..it might wear a wig.,"Love is truly blind... Sooner or later, you realize that. Ladies, happiness might not have six-pack abs, and gentlemen, it might wear a wig.",neutral,0,neutral
Obstacles bring you closer to God. Now....see why they're necessary?? JUST REMEMBER: Your Best Is Yet To Come.,Obstacles bring you closer to God. Now... do you see why they're necessary? JUST REMEMBER: Your best is yet to come.,positive,1,positive
Funny Statistic....Twitter activity is down 40% on Legal Holidays when Gov offices are shut down..WOW! Says alot about what yall do all day!,Funny statistic... Twitter activity is down 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!,negative,-1,negative
Today was a Great Day to be an American! And to be African-American just added more meaning to the occasions. #ProudBlackMan,Today was a great day to be an American! And being African American made the occasion even more meaningful. #ProudBlackMan,positive,1,positive
Anyone that left their animal outside tonight should be made to go out there with them. #CruelPeople,Anyone who left their animal outside tonight should have to go out there with them. #CruelPeople,negative,-1,negative
#ThirdShift....Bring it on! We ain't Scurd! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!,"#ThirdShift... Bring it on! We aren't scared! Snow? We laugh at snow! **in my quiet, timid voice** {{Please, Baby Jesus... Not tonight}} LOL!",positive,1,positive
#RealLife.....Somethings are learned and don't come with a scripture. ((That one is for the Saints)),#RealLife... Some things are learned and don’t come with a scripture. (That one is for the churchgoers.),neutral,0,neutral
Im so faded my nigga im bout to disappear in this bitch.. Like poof! Der go my roof... Pow! Der go my hamma,"I'm so intoxicated, my friend, I'm about to disappear in this place... Like poof! There goes my roof... Pow! There goes my hammer.",negative,-1,negative
I got a headache rite... I drunk some frozen koolaid real fast rite... Got brainfreeze.... Headache gone.... Boom!,"I have a headache, right? I drank some frozen Kool-Aid really fast, right? Got brain freeze... The headache is gone... Boom!",positive,1,positive
My whole life was a battle..... I made moves wit horses.. No saddle... Jus raddle,"My whole life was a battle... I made moves with horses—no saddle, just rattle.",neutral,0,neutral
I strive for da gold...  And pic my own shit. Move bricks ill break and go pitch da whole load,I strive for the gold... And choose my own things. Move bricks I’ll break and then go sell the whole load.,neutral,0,neutral
Do I herr my g code..... .. Unless u not blessd to undastand ima man dat got stuck up in dis mess..,"Do I hear my code... Unless you’re not blessed to understand, I’m a man that got caught up in this mess.",neutral,0,neutral
I love yhu sorya & I want yhu to know yhu do got a friend& im here for yhu nmw on some friend type shit I dont wany to see nothing happend,"I love you, Sorya, and I want you to know you do have a friend, and I’m here for you no matter what, as a friend. I don’t want to see anything happen.",positive,1,positive
"""@KardinalRule @PAUL_THE_GREAT  Was that suppose to be a joke, NOT FUNNY! Better luck next time :-)""",@KardinalRule @PAUL_THE_GREAT Was that supposed to be a joke? That was not funny! Better luck next time :-),negative,-1,negative
Relationships r wut u make it so dont be such a bitch about thing and relationships will last longer.,"Relationships are what you make them, so don’t be so difficult about things and your relationships will last longer.",negative,-1,negative
@2Slick__ next time I'm in JA I guess unless you're planning a trip to NYC in the near future?!,"@2Slick__ The next time I’m in Jamaica, I suppose—unless you’re planning a trip to New York City in the near future?!",positive,1,positive
@conceited_CASHE soon.! Mite hav that hook up for yo ass lol...bt yu jus make sure yu call me n we go talk about this .,"@conceited_CASHE soon! I might have that hookup for you, lol... But you just make sure you call me and we’ll talk about this.",neutral,0,neutral
@LoVEme_ai look around 2:13 a.m Myself jumped up and was like self!? Itold myself huh? Myself sed.bitch yu 4gt to call ai.! myself sed damn!,"@LoVEme_ai I looked around at 2:13 a.m. and suddenly jumped up and said, ""Self!?"" I told myself, ""Huh?"" Then I said, ""Girl, you forgot to call Ai!"" And I said, ""Damn!""",neutral,0,neutral
