sae_text,aae_text
She can't get anything from me except bubble gum and a hard time. I told her I'm trying to make a profit—I'm shooting dice with her rent money!,She can't get nothin' from me but some bubble gum and a hard time. I told her I'm tryna make a profit—I'm out here shootin' dice wit' her rent money!
"@islandboi_B Yes, that's great. There's nothing like getting dressed up and experiencing some culture, man.","@islandboi_B Yeah, that’s dope. Ain’t nothin’ like gettin’ dressed up and soakin’ up some culture, fam."
"Mixed, huh!? Those very dark knees and elbows will reveal your background every time, haha.","Mixed, huh!? Dem real dark knees an’ elbows gon’ tell on you every time, haha."
"@larrympaige @zionsays #FIGHT. People ask, ""What do you want to be when you grow up?"" Let's ask, ""What did God call you to be?""","@larrympaige @zionsays #FIGHT. Folks always askin, ""What you wanna be when you grow up?"" But let’s ask, ""What God call you to be?"""
Mike James from @mavs isn't anything and he's really stupid. #nba #dallasmavs,Mike James from @mavs ain’t nobody and he real dumb. #nba #dallasmavs
It took a complete stranger to tell me he is proud of what I’m doing and how I’m fighting for my children!,It took somebody I ain’t even know to tell me he proud of what I’m doin’ and how I’m fightin’ for my kids!
I’m the type of person who would walk through the fire just to see how it burns!,I’m the type who’d walk through the fire just to see how it burn!
@Smiley_Klc @Yung_410Prince You all make fun of my jacket even though you know very well it was too small!,@Smiley_Klc @Yung_410Prince Y’all stay clownin’ my jacket even though y’all know damn well it was too small!
"I want something that’s going to last a lifetime. When someone asks how long we’ve been together, I want to be able to say over 30 years.","I want somethin’ that’s gon’ last a lifetime. When somebody ask how long we been together, I wanna be able to say over 30 years."
Don’t play with my feelings; you’re liable to get beaten up or shot if you’re a guy.,Don’t be playin’ wit’ my feelings; you might get beat up or shot if you a dude.
"""@TheyLoveQuan: Other than track and school, I don't do anything with my life. Loser :P""","@TheyLoveQuan: Besides track and school, I don’t be doin nothin wit my life. Lame af :P"
"Absolutely, I just received that same text, haha. @JuugMan_TheShit: The phone bill is due in 3 days, wow!","Fa sho, I just got that same text, lol. @JuugMan_TheShit: The phone bill due in 3 days, damn!"
"Who are you calling a bitch? I miss you all, lol. @PrettyBlalock: The people in my sixth period class, ugh. <<<<<< Shut up, dumb bitch!","Who you callin’ a bitch? I miss y’all, lol. @PrettyBlalock: The folks in my sixth period class, ugh. <<<<<< Girl, shut up, dumb ass bitch!"
"So icy hip hop, Waka Flocka music... I don’t need any metaphors—this is real music!","So icy hip hop, Waka Flocka music... Ion need no metaphors—this real music fr!"
"@cstylez78 You are an awesome man. Thank you for being so great and taking care of me. You are truly gifted with the blessings of God, and I love you so much!","@cstylez78 You a real one fr. Thanks for always lookin’ out and takin’ care of me. You truly blessed by God, and I love you so much!"
"Call up to this school, I should have never taken myself to college. Forget that.","Call up to this school, I shoulda never took myself to college. Forget that."
@No_Bullshxt_ Lol because I don't have any friends and everyone I need is right next to me. Lol.,@No_Bullshxt_ Lol cuz I ain't got no friends and everybody I need right here wit me. Lol.
"Heading to work while sick, not feeling well, tired, and with a lot on my mind—ugh.","Headin’ to work while I’m sick, ain’t feelin’ good, tired, and got a lot on my mind—ugh."
Loved the time I spent with my friend; that fool knows he kept me laughing. I guess that's all that matters.,Loved kickin’ it wit my friend; that fool had me crackin’ up the whole time. Guess that’s all that matter.
"Should I stay or should I go, but no matter how hard I try, I can't walk away.","Should I stay or should I dip, but no matter how hard I try, I just can't walk away."
The moral of the story is that everyone has had someone they would run back to.,The moral of the story is everybody got somebody they’d run back to.
"I swear I cut everybody off, but these are the kinds of games you choose to play. Bet that.","I swear I done cut everybody off, but this the kinda games you wanna play. Bet that."
"As much as I wanted him in her life, I just can't keep letting him come in and out of her life.","Much as I wanted him in her life, I just can’t keep lettin’ him come in and out her life."
"Recently, I’ve started to feel amazing because of this new energy I have. I’m never going back to my old self!","Lately, I been feelin’ real good wit this new energy I got. I ain’t never goin’ back to my old self!"
"Man, if one more of my tweets gets sent to drafts, I’m going to be mad!","Man, if one more of my tweets get sent to drafts, I’ma be mad!"
The Black Eyed Peas show no mercy when they perform... Thank God I work outside alone. LOL!,The Black Eyed Peas don’t play when they perform... Thank God I be workin’ outside by myself. LOL!
For all of you who wanted some winter weather...enjoy! The rest of us will just get through it. You snow lovers just sit down and be quiet!,"For everybody who been wantin’ some winter weather… go ‘head and enjoy! The rest of us just gon’ get through it. All y’all snow lovers, just sit down and hush!"
"My pastor is amazing today! We are diving in! Preach, @AGMaclin! I’m completely committed!","My pastor on fire today! We goin’ in! Preach, @AGMaclin! I’m all in!"
Spend less time focusing on what you did wrong and more time focusing on how to make sure it never happens again.,"Stop worryin’ ‘bout what you messed up, and put that energy into makin’ sure it don’t happen no more."
